Title,Genre,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
36 Grad (Paul van Dyks Vandit Clubmix),World,292.1632,752,154.43423401715208,194.06961588591508,1,41,127,27
3Afrikai Varazsmondoka,Classical,62.25,278,267.95180722891564,153.2773109243698,1,100,100,20
3Chanson fredonnée,Classical,95.0,119,75.15789473684211,92.14285714285715,1,90,90,11
4Un choral,Classical,83.478144,223,160.28147439406413,49.285783285810886,1,127,127,20
5 Le jardin féerique,Unknown,163.59765625,905,331.9118454669182,174.79374110952924,1,9,124,60
5 Morceaux de fantaisie Op 3 No 1_ Elégie in E flat minor,Classical,247.100185325,1757,426.6285752127045,209.1584006583879,1,20,123,64
5 Rigaudon (Allegro con brio),Unknown,183.08854166666663,1938,635.1025517025574,210.12875536480664,1,2,106,54
50 Special,Pop,203.96693615416663,1653,486.2552817140698,154.9139514224164,1,65,127,28
52nd Street,Rock,162.42840900000002,1064,393.0346938262505,149.33348266681585,1,100,100,46
5th Symphony,Classical,245.0,1947,476.8163265306123,194.59459459459467,1,35,127,48
6 Golliwoggs Cakewalk,Classical,143.21015890625003,1307,547.5868513722986,202.4649211613016,1,21,106,52
"6 Partitas, Clavierubung part I, no 2",Classical,96.0,836,522.5,160.0,1,127,127,50
"6 Partitas, Clavierubung part I, no1",Classical,156.0,841,323.46153846153845,240.0,1,127,127,45
"6 Partitas, Clavierubung part I, no2",Classical,168.78454599999998,1879,667.9521477043285,213.60323350389152,1,127,127,48
6 Épigraphes Antiques I - Pour Invoquer Pan_ Dieu Du Vent Dété,Classical,156.55208333333331,768,294.34293698848893,159.4888178913729,1,10,115,35
6Pauvre orpheline,Classical,96.0,202,126.25,87.27272727272727,1,127,127,9
7 E 40,Pop,219.2702603666667,208,56.91606321409377,106.18784576970236,1,72,127,27
75_ Brasil Street (Max Millan Mix),Unknown,319.93643354166664,1776,333.06616198846336,259.431604809966,1,35,113,3
7Chanson du Chasseur,Classical,71.78564250000001,614,513.1945430452893,241.81842363660527,1,127,127,26
7th Symphony,Classical,114.0,415,218.42105263157896,109.09090909090908,1,70,70,34
7th_Saga_Church,Soundtracks,136.36305610839844,1400,616.002621217482,264.0028464571562,1,10,112,34
80s Ladies,Unknown,252.0,2210,526.1904761904761,204.25531914893585,1,28,127,19
9 Crimes,Rock,209.3765625,1151,329.83634450489177,149.13345308024662,1,44,75,26
9 Etudes-tableaux Op 33 No 6 in C sharp minor (originally No 9),Classical,143.67922527708333,1600,668.15505035516,202.38517577666693,1,39,127,66
9Chanson populaire,Classical,96.0,170,106.25,60.0,1,127,127,17
A Beautiful Morning (Single Version),Rock,158.67776000000003,440,166.37492235836953,114.63152545265724,1,100,100,14
A Better Love,Pop,245.15625,1629,398.6845124282983,177.02127659574467,1,30,122,31
A Big Hunk O Love (In The Style of Elvis Presley) - Karaoke,Unknown,142.86384043750002,1232,517.4157419654308,169.14284885724388,1,28,127,33
A Breeze From Alabama,Blues,251.70686400000005,2946,702.2454500883217,161.10663238583376,1,127,127,58
A Chi ( Hurt ),Rock,215.1084324375,1726,481.4316148674901,177.85657412258283,1,37,95,18
A chi,Pop,192.07723127083327,886,276.7636728636679,137.24897760106546,1,53,121,44
A Childs Wish,Unknown,155.55540000000002,800,308.57173714316565,158.17940346242233,1,127,127,41
A Day in the Life (feat Michael Rose and Menny More),Reggae,280.86875,1208,258.0564765571108,149.7358990823788,1,51,126,35
A Day In The LifeGive Peace A Chance,Rock,287.9717197083333,1207,251.48302782422252,166.08514766956478,1,107,127,36
A Day Without Rain,Unknown,129.2305,387,179.67894575970843,125.5558171301746,1,60,96,32
A Dream is a Wish Your Heart Makes,Unknown,103.2,212,123.25581395348836,101.49253731343288,1,61,100,24
A Fallen Star,Country,116.46666666666668,1472,758.3285632512878,240.869807638696,1,34,62,29
A Foggy Day (In London Town) (Album Version),Ambient,149.03416666666666,614,247.1916395010093,160.12939749292318,1,26,127,50
A Gift of a Thistle,Soundtracks,118.8,769,388.3838383838384,184.480234260615,1,53,101,48
A Great Day For Freedom (Live),Rock,234.126322625,438,112.247096803774,99.60007802006132,1,12,127,18
A Heart of Gold,Rap,221.866871734375,974,263.4011988502995,168.0005208016146,1,60,127,27
A La Folie,Classical,236.8496569270833,452,114.50301576053867,101.81852121325252,1,112,127,31
A Lenda,Pop,201.5925,630,187.50697570594144,70.95343680709534,1,28,94,38
A Lesson Learned,Unknown,100.46177554492188,964,575.7413671644357,162.60666685047434,1,50,127,41
A Line Allows Progress_ a Circle Does Not,Rock,240.30087308333336,752,187.7646111770594,98.39997540000591,1,44,127,28
"A Little Flower, Op205, No11",Unknown,57.0,181,190.5263157894737,150.0,1,64,96,24
A Little More Time on You,Unknown,214.4,802,224.4402985074627,136.36363636363706,1,100,100,27
A Little on the Lonely Side,Unknown,91.75,645,421.7983651226159,141.1764705882353,1,100,100,36
A Little Too Late,Soundtracks,170.13750000000002,616,217.23605906986992,168.9775499490473,1,63,127,32
A Loccasion Tu Souris,World,169.446259125,635,224.85005096449925,142.7452407844564,1,26,110,26
A Love Eternal,Rock,292.3186591875,683,140.18947717502522,151.24122243450256,1,51,127,25
A Love So Beautiful,Rock,247.9736328125,786,190.18151028847103,128.64502519629673,1,74,127,26
A Man And A Woman,Soundtracks,197.50138013020836,802,243.6438670366533,167.6320367367131,1,8,127,48
A Midsummer Nights Dream Op 619 Wedding March,Unknown,275.4583333333333,3185,693.7528361821207,206.2099827882924,1,1,103,54
A Mighty Fortress,Rock,269.56586439583333,1004,223.47043137310203,177.629367550302,1,19,99,22
A Million Love Songs,Pop,84.0,312,222.8571428571429,132.41379310344828,1,100,100,17
A Moment Like This,Unknown,206.153372,1193,347.2172165100458,152.15281631919072,1,100,100,47
A Musical Joke,Classical,97.8,378,231.90184049079755,170.0,1,62,127,35
A Padroeira,Unknown,230.908102425,555,144.21321577841118,167.7362255223906,1,100,100,40
A Poor Mans Gold,Rock,161.79768,676,250.68344614088412,178.36967492194634,1,24,119,21
A Quiet Thing,Ambient,291.125,1346,277.40661227994843,146.88524590163982,1,114,114,37
A Routine Day (1979 7 Mix),Rock,173.29375000000002,884,306.06989576946654,165.0819340481487,1,57,127,32
A Salty Dog (Live In Utrecht),Rock,247.62098425,733,177.61014937085244,87.8333274777785,1,15,125,32
A Secret Love,Rock,193.90625,245,75.80983078162771,132.0,1,75,77,24
A Ship Called Jubilee,Unknown,109.88,598,326.538041499818,164.50875856816435,1,33,95,26
A Shoulder To Cry On (LP Version),Unknown,214.467143775,751,210.10211264469007,156.96090452981613,1,90,90,36
A Spoon Full of Sugar,Soundtracks,53.454492,240,269.3880244900653,147.0653644566688,1,65,65,28
A Star Is Born,Unknown,235.05222395833331,1294,330.30957415558385,214.57754158829547,1,2,121,62
A Tale Of Distant Lands,Classical,55.0,224,244.3636363636364,148.64516129032236,1,21,100,26
A Taste Of Honey,Ambient,163.369140625,627,230.2760475820432,156.53503184713375,1,67,127,35
A Taste of Something,Soundtracks,209.953125,1276,364.6528242911364,248.45611787315823,1,54,127,41
A Teenager In Love,Rock,156.05,1139,437.9365587952579,205.7142857142857,1,56,127,18
A Thing Called Love,Country,156.91650240625,173,66.1498302653129,173.33395733557873,1,1,1,17
A Thousand Miles (Interlude),Rock,243.10363867968752,976,240.88491771675388,157.066653577779,1,76,121,25
A Thousand Miles,Rock,119.99988,442,221.000221000221,173.47843434799938,1,50,101,22
A Thousand Words,Rock,224.53159365,474,126.66368922821742,221.73935217413836,1,42,99,26
A Vain Invitation,Unknown,61.2,487,477.4509803921569,199.02439024390256,1,100,100,28
A Very Special Love Song,Rock,168.59360388541668,711,253.0345103067702,143.6680329742431,1,26,127,36
A Walk In The Black Forest,Ambient,263.02578125,1189,271.22816501471755,96.99547992555178,1,90,109,40
A Whiter Shade Of Pale,Pop,242.3247145364584,576,142.61855240853018,115.79297463426668,1,59,117,32
A Whole New World,Soundtracks,199.9998,721,216.30021630021636,124.13805517253792,1,64,64,40
A Window to the Past,Soundtracks,78.75,475,361.9047619047619,234.7003154574132,1,100,100,39
A Woman In Love,Unknown,223.999776,961,257.410971696686,146.2501462501462,1,2,113,26
A Woman Left Lonely,Rock,209.3875,1238,354.7489702107337,170.04350528278528,1,15,127,52
A Womans Needs,Unknown,317.76191176041664,1942,366.68963676128914,207.3898320976689,1,9,127,39
A World Without Money,Unknown,170.0,715,252.35294117647055,208.69565217391303,1,79,79,25
Ababil,World,245.00641838541665,1063,260.31971088883256,144.63729245562905,1,41,117,33
Abandon City,Unknown,270.76979827083335,1882,417.0332168547598,154.50878874414158,1,100,100,28
Abbracciami (Abrázame),Latin,173.414559,308,106.56544702224224,160.65313084084636,1,50,110,15
Abendempfindung,Classical,291.333042,1025,211.09860926794568,167.91061567180964,1,127,127,50
Abide With Me,Ambient,103.66749223828124,326,188.68016943094423,61.502646279200654,1,72,89,20
Abilene,Country,138.575,729,315.64134944975643,135.59322033898303,1,41,81,26
Abstract 1,Unknown,129.333204,1010,468.5571695880974,270.0002700002703,1,127,127,38
Acaso,Latin,214.625,245,68.49155503785673,53.63128491620152,1,90,90,9
Achy Breaky Heart,Country,67.75,415,367.5276752767528,207.27272727272725,1,100,100,15
Across The Universe,Unknown,216.29166666666663,635,176.15103062993643,159.89905362776227,1,81,106,34
Act II Marzipan (LP Version),Unknown,147.33585278125,124,50.49687404359203,252.00078120242188,1,64,100,3
Act II Sugarplum Fairy (LP Version),Unknown,177.58993869791664,1053,355.76339776472474,223.29406554511027,1,12,114,66
ActRaiser_NorthWall,Soundtracks,165.0,976,354.90909090909093,152.36180904522615,1,110,127,36
ad Libitum,Classical,206.6908974375,785,227.8765082736277,119.00016065021764,1,70,70,16
Adagietto(from Symphony No5),Classical,73.090836,227,186.34346992555948,171.1112822223932,1,100,100,40
Adagio Cantabile,Classical,80.18173800000001,205,153.4015139457316,104.5001045001045,1,100,100,33
Adagio in G minor,Classical,233.97382083333332,1152,295.4176657620011,158.644432678805,1,114,114,28
Adagio,Classical,266.59651154427087,391,87.99815070387463,80.72740669907519,1,28,123,42
Adia,Rock,253.79974620000004,1602,378.7237829791021,159.21584549035583,1,80,80,32
Adieu (1991 Digital Remaster),Pop,136.42084799999998,704,309.6300940747708,190.6989001337677,1,42,127,29
Adios Mi Vida (Album Version),Unknown,219.908871,947,258.3797540391174,97.00797102371924,1,73,102,16
Adivinha,World,49.2857225,81,98.60867921739406,59.99999000000165,1,55,84,18
Advance_Wars_EaglesTheme,Soundtracks,91.32647125,1200,788.3804007154168,275.0324368355999,1,127,127,34
Adventures_of_Dino_Riki_Level1,Soundtracks,51.075,509,597.9441997063142,195.34883720930264,1,80,127,26
Advice For The Young At Heart,Rock,269.23223895833337,1302,290.1584160286611,187.9814704421177,1,10,127,31
Affair In San Miguel,Unknown,306.9635833645833,667,130.37377125112556,76.64511147100023,1,59,110,20
Africa  Rio,Classical,221.5754950520833,608,164.63914473676363,182.3032794508448,1,64,127,17
Afrika,Rap,269.446159125,1134,252.51798066431243,160.4416487218776,1,74,94,54
After The Ball  (LP Version),Rock,213.415,2606,732.6570297308062,220.3706852576084,1,2,125,67
After The Blackbird Sings,Rock,199.2,661,199.09638554216863,88.88888888888889,1,39,113,31
After The Love Has Gone (Love To Infinity Radio Mix),Unknown,318.1763726875,1789,337.36005943290144,82.72412634291649,1,41,127,43
After The Love Has Gone,Soundtracks,285.2974825520833,1108,233.0199320558797,99.49906833756168,1,50,127,56
After The Love Is Gone,Unknown,180.856962,507,168.19922033192174,110.1640445902746,1,60,108,28
Afterwards,Unknown,240.0,1325,331.25,122.22222222222224,1,127,127,45
Afuera,Rock,266.4,243,54.72972972972973,77.19298245614037,1,73,127,36
Again (PianoVocal),Soul,210.33461109375003,804,229.34884443957984,174.54562909108395,1,43,123,32
Against All Odds (Take A Look At Me Now),Unknown,204.048603,913,268.4654498712741,95.5401334907976,1,1,126,29
Against All Odds,World,173.0769375,398,137.9733218355565,177.5397341589975,1,38,127,30
Age_of_Empires_II_Main_Theme,Soundtracks,55.596822109375,458,494.2728551272033,171.1571510136833,1,32,104,33
Agnus Dei (Coronation Mass),Classical,96.0,512,320.0,186.9565217391304,1,61,100,31
Agua,Rock,239.45625,1523,381.6145955680839,150.3570981080064,1,20,123,15
Ah How sunny,Classical,48.0,329,411.25,195.0684931506849,1,100,100,31
Ahora Que Soy Libre,Latin,176.91441840000002,1438,487.69343267953786,188.6717334961999,1,39,88,23
Ai Shi Yong Heng,Pop,290.30833333333334,1023,211.43037574992107,104.44049733570232,1,14,127,47
Aida Triumph March,Classical,50.181768,342,408.9134523917133,146.6668133334799,1,36,78,22
Aimer encore,Unknown,163.0276524479167,781,287.4358999616375,129.83261510420743,1,15,126,22
Aimer La Vie (Soy Un Truhán Soy Un Señor),Latin,188.30646527708333,1213,386.4976164939847,189.7544112655004,1,11,93,37
Ainsi Soit Je,World,249.75,918,220.54054054054052,140.89068825910928,1,27,127,42
Aint No Mountain High Enough,Soul,191.335,365,114.45893328455328,195.953141640043,1,28,127,30
Aint No Stoppin Us Now,Soul,261.29895015625,282,64.75341745492004,138.53185336739975,1,100,127,25
Aint Nobody (Remix),Soul,239.9935423958333,1267,316.7585229214894,160.00029866722423,1,37,127,16
Aint That A Lot Of Love,Soul,178.42034010416666,1893,636.5866130155839,227.91904753952053,1,4,119,19
Aint Too Proud to Beg,Unknown,171.0998185,907,318.0599516533093,187.8387946593249,1,65,127,14
Aion_Tower_of_Eternity_DeathWaltz,Soundtracks,154.25048828125,801,311.5711368924202,180.80192452935745,1,56,120,54
Aion_Tower_of_Eternity_FairyofthePeace,Soundtracks,265.4043104882812,1165,263.3717586251728,200.68969301554927,1,52,117,68
Aion_Tower_of_Eternity_ForgottenSorrow,Soundtracks,240.582348703125,1263,314.9857020205226,167.2901213099065,1,52,108,66
Aion_Tower_of_Eternity_MainTheme,Soundtracks,198.786259546875,1379,416.2259513741161,166.08776912639843,1,52,127,67
Aion_Tower_of_Eternity_SongofMoonlight,Soundtracks,188.75,853,271.15231788079467,172.44454040049658,1,54,102,54
Aion_Tower_of_Eternity_TheStillSadWorld,Soundtracks,88.44609375,425,288.3112065082015,194.88428745432392,1,51,115,43
Aion_Tower_of_Eternity_WingsoftheKnight,Soundtracks,190.9448351367188,779,244.78274034766952,159.74537864301325,1,54,105,64
Air and Variations The Harmonious Blacksmith,Classical,259.796875,2309,533.2627653816082,224.98002663115628,1,2,108,29
Air in D Major,Classical,216.0,759,210.8333333333333,135.3846153846154,1,48,94,43
Air on a G string,Classical,250.434432,759,181.8440045816064,123.21445821452735,1,48,94,43
Air That I Breathe,Unknown,250.4432999520833,207,49.59206336275032,96.31207934275032,1,1,1,14
Ajtók mögött,Pop,270.6000177083334,486,107.76052509882,117.64080824418652,1,56,127,35
Al Di Là Di Questi Anni,Pop,305.283785625,805,158.21344687899685,72.92136822482082,1,25,127,31
Alane,Rap,218.78106445312503,558,153.02969698811967,162.651051177423,1,1,1,17
Album pour la jeunesse - 1Mélodie,Classical,96.0,185,115.625,116.80851063829788,1,127,127,11
Album pour la jeunesse - 26,Classical,136.15353299999998,668,294.3735584151166,145.50706112363972,1,127,127,31
Albéniz  España  VI Zortzico,Classical,154.09984590000002,1476,574.692333290646,187.98416662235016,1,80,127,47
Alegria De Vivir,World,214.77816602083337,250,69.83950127661025,168.56157273935108,1,11,124,33
Algo De Mi,Latin,252.23258113281247,953,226.6955352999857,143.57306729524245,1,11,127,27
Alguien Que Cuide De Mi  Al Fin Sola Al Fin Loca,Rock,239.4898358333333,712,178.37917776907187,134.05179112953766,1,34,127,29
Alice in Wonderland Act I The Caucus Race,Soundtracks,161.6544858541667,1911,709.2905550634592,256.116321135241,1,26,111,59
Alice in Wonderland Act II Pas de Trois,Soundtracks,72.99041846484376,745,612.4091482162142,206.30789125878792,1,44,113,30
Alive (Extended Mix),World,209.11171424583333,1026,294.3880988304156,158.15000878222395,1,100,100,16
All Alone Am I,Rock,290.71666666666664,1194,246.4255002006536,168.75000000000006,1,1,105,38
All Along the Watchtower,Rock,82.25,356,259.69604863221883,163.2,1,100,100,18
All At Once,Soul,211.35625,1614,458.18375373332935,219.1304347826087,1,11,90,62
All By Myself,Ambient,286.140625,1092,228.97832141101952,118.17166993513382,1,127,127,42
All Cried Out,Unknown,232.0222875166667,910,235.32222091413507,128.64005574402404,1,10,127,28
All Dead All Dead (1993 Digital Remaster),Rock,188.47916666666663,872,277.5903614457832,148.29435743402735,1,6,86,40
All For Love,Unknown,275.929918875,532,115.68154743835588,84.2074128574985,1,1,127,25
All I Ask Of You (from Phantom Of The Opera),Unknown,133.43333333333334,571,256.75743192605546,120.0,1,42,94,32
All I Ask of You,Soundtracks,89.6,309,206.9196428571429,125.00000000000009,1,100,100,22
All I Ever Need Is You,Unknown,191.95476750000003,874,273.1893595713896,134.49841697498098,1,24,127,22
All I Ever Wanted,Ambient,196.15348,591,180.77680803827693,165.75030940057758,1,100,100,33
All I Have (LP Version),Folk,241.81934771666664,1098,272.43477671269653,126.9699598152754,1,112,112,47
All I Have to Give,Soul,141.6,542,229.66101694915253,174.19354838709685,1,58,100,26
All I Want For Christmas Is You,Soul,240.5218022666667,3015,752.1147700341778,224.2187906279555,1,37,127,35
All I Want for Christmas,Soul,218.4,950,260.989010989011,166.44295302013404,1,58,100,43
All I Want,Rock,157.98686142968748,210,79.75346738315747,209.15338612765828,1,31,127,25
All Ive Ever Wanted,Soul,227.5866819833333,853,224.8813487414348,129.70388660591405,1,6,122,27
All Messed Up,Rock,258.414576675,2406,558.6372172091402,169.703917604572,1,1,101,42
All My Exs Live In Texas,Rock,200.625,844,252.41121495327104,148.04819277108433,1,10,126,26
All My Heart This Night Rejoices,Unknown,149.99975999999998,365,146.00023360037378,74.0572613487611,1,127,127,29
All My Life,Rock,215.24807601041664,1380,384.6724279012511,191.31053294961052,1,5,108,31
All Night Long,Rock,212.869512,378,106.5441442830949,230.00005750001435,1,110,110,10
All Of My Heart,Unknown,259.75,997,230.29836381135704,179.1044776119403,1,60,120,35
All Out Of Love (Live),Rock,252.47970756250004,381,90.54192996615828,74.5360097001627,1,42,127,26
All Out Of Love,Jazz,269.684233,1224,272.3184784777537,181.106367886526,1,40,127,39
All Right (Album Version),Rock,199.8880576875,724,217.3216374332528,214.4682995746821,1,25,127,29
All Shook Up,Rock,119.106697265625,1020,513.8250107255953,215.7148250013479,1,1,109,18
All Summer Long (Album Version),Rock,307.6725,2910,567.486531945494,200.72229614141312,1,49,110,57
All That Im Living For,Rock,178.68564,272,91.3335845006907,274.000753502072,1,79,111,30
All That She Wants,Unknown,212.2354147317708,791,223.6196068407401,99.87513649601986,1,48,110,15
All That We Were,Unknown,245.61354166666663,222,54.23153751871377,155.58426306518126,1,32,127,9
All The Man That I Need,Unknown,236.24979525,751,190.73032402977287,116.67387510456518,1,26,126,33
All The Pretty Things,Rock,206.408016,1167,339.23101126072544,237.20561168192987,1,75,127,27
All The Right Moves (Made Famous By OneRepublic),Pop,223.598802375,1309,351.2541174897695,73.15007315007325,1,28,127,16
All The Things You Are,Ambient,138.57916666666665,886,383.6074446014613,211.4059853190292,1,13,108,71
All The Wrong Reasons,Rock,238.563871546875,531,133.5491405023576,82.16374059886456,1,74,124,24
All These  Years,Rock,232.45960829166663,705,181.96709661029053,152.64653913506783,1,53,127,48
All Things Are Possible,Religious,274.01041666666663,1253,274.36913134385105,113.49753694581284,1,14,127,36
All We Need Is Love ( Rivaz Club Mix),Unknown,236.30586775,1690,429.1048756659577,177.4928495811096,1,1,120,44
All You Need is Love,Rock,184.571244,215,69.89171075858381,121.4063714063714,1,63,127,8
Alla stunder,Unknown,251.0234375,468,111.86206467274594,165.0,1,29,127,24
Alla Turca,Unknown,125.75808,1618,771.9583505091681,246.9752469752472,1,12,106,44
Alle Aale,Unknown,111.4851315703125,318,171.14389812570158,113.14297028582752,1,42,78,20
Allegretto Sonata No 9 E major op 141 (Ludwig van Beethoven),Classical,197.1431720666667,1280,389.5645950853881,164.87840065831577,1,6,102,50
Allegro No3 From Sept Pieces,Classical,117.6,1009,514.7959183673469,199.99999999999952,1,100,100,43
Allegro Vivace,Classical,154.0,896,349.09090909090907,215.5102040816328,1,100,100,45
Allegro,Classical,311.0,2388,460.70739549839226,231.1656441717786,1,100,100,58
Allemande,Classical,96.0,550,343.75,238.04347826086965,1,127,127,40
Alles Klingt,Rock,229.73487367187505,1696,442.945376004783,150.93829563611132,1,48,119,19
Alles liebe zum Geburtstag,Folk,197.36666666666667,827,251.41023475764229,211.58167675021608,1,55,100,28
Almadiva,Unknown,249.6875,374,89.87234042553192,160.0,1,100,127,27
Almost Lover (Live),Rock,203.246875,1012,298.7499807807623,137.0381830558822,1,80,120,16
Almost Over You (1993 Digital Remaster),Rock,204.000034,582,171.1764420588283,136.8888660740779,1,33,109,41
Almost Persuaded,Country,240.22625625000003,932,232.78054977389672,187.803070873644,1,125,127,29
Alone Again (Naturally),Rock,225.1248874375,1236,329.4171552693772,169.41184941180697,1,30,106,29
Alone In Love,Soul,252.61183083333333,454,107.83342929798184,158.36370498791086,1,53,127,20
Alone with You (Album Version),Rock,223.9531325,397,106.3615397297468,138.6674062261665,1,34,125,30
Alone,Rock,172.4028579,417,145.12520444708937,132.77465079644458,1,100,127,16
Alors Je Dessine (Live Paris 2009),Rock,270.41688156249995,1028,228.09226866165247,117.91087730500963,1,55,113,24
Alright Now,Rock,143.571352,890,371.9404968757277,182.51861586178012,1,9,113,19
Als Die Alte Mutter,Unknown,99.9999,601,360.6003606003607,124.61550923089392,1,127,127,40
Also sprach Zarathustra,Classical,66.0,384,349.09090909090907,156.82119205298017,1,52,103,31
Alt Lys Er Svunnet Hen,Rock,185.59333333333333,1290,417.04084198426665,139.28571428571425,1,64,90,23
Alt wie ein Baum,Rock,166.3098084375,128,46.17887587120984,72.00007200007188,1,1,1,15
