Title,Agreements_2,Agreements_3,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
1eBH8Vx7g8M,"Laid-back,Dreamy","Relaxing/Calm,Pop-Piano Cover,Emotional",39.56666666666666,172,260.82561078348783,161.54250657318136,1,18,86,23
1ITYvGZ8atQ,"Passionate,Upbeat/Energetic",Pop-Piano Cover,30.98958333333333,355,687.3277310924369,203.2343428403412,1,25,90,33
1JJat9MyxlQ,"New-age,Dark,Mysterious","Tense,Relaxing/Calm",30.48958333333333,294,578.5582507687052,285.7944126847161,1,32,78,18
1mNMe28rNuc,"Epic,Emotional,Pop-Piano Cover",,30.98958333333333,284,549.8621848739496,211.45374449339204,1,34,95,30
1P9EV19o41U,"Bright,Emotional,Dreamy",,42.71320833333333,207,290.7765650164811,189.6269541170494,1,42,98,45
1pSSoT3Q0wk,"Relaxing/Calm,Laid-back","Dark,Emotional",33.87291666666667,144,255.0710375791869,124.64834451417433,1,19,95,33
1VdJtvM8D9Y,Happy,"Laid-back,Emotional,Bright,Relaxing/Calm",37.751041666666666,190,301.97842222896725,165.35885167464122,1,23,79,31
1VjXzTK6F40,"Happy,Bright,Relaxing/Calm","Emotional,New-age",30.98958333333333,355,687.3277310924369,175.0094948727687,1,30,82,31
23WkZuq_part_2,Relaxing/Calm,"New-age,Emotional,Sad",30.48958333333333,454,893.4198838401094,214.4680851063825,1,20,81,35
23zDVtc6KuI,"Mysterious,Easy,Laid-back,New-age",Relaxing/Calm,30.98958333333333,309,598.2655462184873,192.4774634752877,1,55,83,25
24SvrZqB_Xc,"Emotional,New-age","Easy,Happy,Cute,Bright",31.044791666666665,277,535.3555011240479,220.93150684931504,1,30,93,36
25WXR52B2WE,"Intense/Grand,Speedy,Epic","Passionate,Pop-Piano Cover,Upbeat/Energetic",30.48958333333333,453,891.4519986334132,164.74258970358815,1,36,94,38
28nZB3gth_4,"Laid-back,Dreamy,Easy,Pop-Piano Cover","Relaxing/Calm,Emotional",41.589,195,281.3243886604631,171.41691041425744,1,15,84,30
2cwOrV6H840,"New-age,Dreamy","Laid-back,Emotional,Relaxing/Calm",30.990625,174,336.87607139255823,172.57432588153898,1,19,93,25
2gOKQVAItdg,"Sad,Dark","New-age,Emotional",31.48958333333333,353,672.6033741316573,191.54929577464816,1,29,88,24
2JDhQC6R4Vs,Sad,"Relaxing/Calm,Emotional,Pop-Piano Cover",36.16354166666667,156,258.824207160757,126.19279454722496,1,34,88,29
2pn8tmGVobw,,"Passionate,Powerful,Pop-Piano Cover",30.83333333333333,334,649.945945945946,201.39860139860144,1,46,92,33
2TAzydRrF28,"Dark,Emotional",Tense,36.0584375,270,449.2707150718885,199.8958875585631,1,37,97,36
2YbCTC967Wg,Emotional,"Sad,Dark",30.48958333333333,328,645.4663477963786,268.45445093751124,1,55,97,34
2YkPKswHdk8,"Laid-back,Dreamy","Relaxing/Calm,Emotional",31.48958333333333,137,261.0387032748925,85.55968169761282,1,21,86,35
33HWgfp_part_2,"Happy,Relaxing/Calm","New-age,Emotional",31.48958333333333,215,409.6592788620576,211.1178985949916,1,12,93,30
34cdN1xhQtc,"Dark,Tense,Mysterious",,30.961458333333333,134,259.6776906772533,145.53443919586937,1,49,87,17
34ftABV3koU,"Cute,Upbeat/Energetic","Bright,Easy,Pop-Piano Cover",31.48958333333333,205,390.6053589149851,239.7859054415705,1,58,84,16
363PkelWdSE,Relaxing/Calm,Cute,30.48958333333333,198,389.6412709258627,163.46222064561897,1,46,96,24
3cjCSt1ihvM,"Emotional,Bright","Happy,Relaxing/Calm,Pop-Piano Cover",32.047583333333336,242,453.0762850032893,180.561599681362,1,34,82,25
3F3mOZTldms,"Easy,New-age,Dreamy,Relaxing/Calm","Laid-back,Emotional",38.33854166666666,169,264.48580355929903,148.23870033778346,1,22,82,29
3FWwxPNtSlE,"New-age,Ballad","Emotional,Relaxing/Calm",30.988541666666663,172,333.02632021244415,117.652117824124,1,16,76,32
3goUkYI17Ko,"Sad,Relaxing/Calm,Laid-back","New-age,Emotional",31.569791666666667,271,515.0493285379615,238.53836784409268,1,24,81,20
3kZAzknRSFA,,"Emotional,Relaxing/Calm,Dreamy,New-age",37.82395833333333,172,272.8429401558757,173.42867896123448,1,23,84,29
3NV9UGjBbqo,"Mysterious,Emotional,Laid-back,Relaxing/Calm",,33.98350698958333,127,224.2264167243155,164.71887455417155,1,43,90,19
3obuQ-gF1ag,"Relaxing/Calm,New-age",Emotional,37.90104166666666,161,254.87426137144428,167.5346260387811,1,28,84,30
3pKS_peEJoQ,"Bright,Upbeat/Energetic,New-age,Passionate,Speedy,Epic",,30.48958333333333,377,741.8927229244962,235.2292855737062,1,26,94,33
3UMIzs2IX7Q,New-age,"Epic,Emotional",30.98958333333333,315,609.8823529411765,173.64780989537158,1,39,79,42
3vTyVf5OoY4,"Happy,Upbeat/Energetic","Cute,Playful,Bright",30.48958333333333,383,753.7000341646739,232.93641878229627,1,53,92,53
3XAqlRW_part_2,"Emotional,Dark,Sad",,30.98958333333333,315,609.8823529411765,197.7871041587188,1,16,89,38
3XAqlRW_part_7,"Sad,Laid-back,Easy","Relaxing/Calm,Pop-Piano Cover,Emotional",34.16645833333333,218,382.83160263172334,178.1884177528462,1,19,93,30
3YSc3y_Uc48,Intense/Grand,Speedy,31.03020833333333,477,922.3270334687302,186.74679740629452,1,63,100,30
4-YBcvavYSs,"Happy,Bright",Classical,30.48958333333333,332,653.3378886231637,226.10402355250235,1,46,90,24
41-8Rq804Gc,Sad,"Emotional,Relaxing/Calm,New-age",31.48958333333333,163,310.5788951372808,163.43001261034027,1,28,87,31
43F609zMrqE,"Tense,Relaxing/Calm,Dreamy,Emotional,Dark","Mysterious,New-age",31.48958333333333,259,493.49652662917634,190.35029742233976,1,27,67,16
4bwq5C8jyvo,Pop-Piano Cover,Emotional,40.79333333333334,227,333.87808465435523,196.18528610354147,1,44,102,35
4D21-zSkCRE,"Epic,Pop-Piano Cover",Passionate,30.98958333333333,291,563.4151260504201,199.75229130542493,1,38,105,44
4Ezjg3CPWL0,"Passionate,Relaxing/Calm,New-age,Epic,Pop-Piano Cover",Emotional,31.48958333333333,270,514.455838570956,147.50320102432775,1,38,85,24
4gv0LiOe4dg,"Classical,Passionate,Happy,Intense/Grand,Difficult/Advanced",Bright,37.69895833333333,500,795.777955845376,206.11581001951848,1,23,89,51
4h2ZKLjCgdU,Easy,"Emotional,Pop-Piano Cover",39.701779433333336,179,270.5168421489635,151.8755471227595,1,30,84,32
4k16iT5na0c,"New-age,Laid-back","Emotional,Relaxing/Calm",43.442708333333336,176,243.07876753386884,125.37638309450396,1,32,81,30
4x0Ad1LbsLc,,"Emotional,Dark,Sad",30.48958333333333,306,602.1728732490606,241.95700518902896,1,17,86,39
4xGU1FLkcqY,Easy,Pop-Piano Cover,31.430208333333333,277,528.7906406389818,251.10739169358925,1,40,81,16
5-nMzSxWyCc,"Dark,Difficult/Advanced,Powerful,Upbeat/Energetic,Passionate,Intense/Grand","Tense,Pop-Piano Cover,Epic",31.48958333333333,473,901.2504134965268,171.52138603140224,1,31,99,52
52CE5CvBbpo,"Relaxing/Calm,Dreamy,New-age",Emotional,30.98958333333333,266,515.0117647058823,257.2427184466016,1,31,93,33
52SSPI1_part_8,Emotional,"New-age,Relaxing/Calm",33.490437500000006,223,399.5170263153474,191.1762043557759,1,9,90,33
5ChaQ_3FyOo,Laid-back,"Relaxing/Calm,Pop-Piano Cover,Emotional",35.416666666666664,140,237.17647058823528,116.46447140381284,1,17,86,16
5DqfJzfOaFc,"Happy,Bright,Pop-Piano Cover,Upbeat/Energetic","Passionate,Powerful,Intense/Grand",30.919791666666665,421,816.9524643735472,208.2644628099173,1,30,97,45
5FikLlapvgk,"Tense,Sad,Easy","New-age,Dark",30.98958333333333,158,305.909243697479,169.53642384105967,1,21,77,22
5IWb1Kb_part_16,"Emotional,Classical,Relaxing/Calm",,34.29375,313,547.6216511755057,217.54793724578727,1,18,96,23
5Lh57Xl2KVk,,Emotional,33.166666666666664,181,327.4371859296483,168.78169728389494,1,36,104,48
5LrCDnfHpik,"Happy,Laid-back,Bright,Dreamy","Relaxing/Calm,Pop-Piano Cover,Emotional",43.61991666666667,217,298.4875028417829,143.55116336255318,1,19,83,34
5MnxXJwPb14,New-age,"Sad,Laid-back,Relaxing/Calm,Pop-Piano Cover,Dreamy,Emotional",31.61458333333333,183,347.3080724876441,175.83547557840618,1,20,81,25
5U1hg32WVRg,Bright,Pop-Piano Cover,31.48958333333333,213,405.8484948726431,146.8366164542295,1,53,96,36
5u5oCjrIu60,"Passionate,Emotional,Powerful",Intense/Grand,43.11354166666666,314,436.9856725216845,208.60117700316883,1,39,92,48
5UKX7fyPIr4,"Difficult/Advanced,Powerful,Passionate,Mysterious","Relaxing/Calm,Intense/Grand,Classical,Dreamy,Emotional",37.25416666666666,243,391.36561905827097,209.10891089108927,1,30,100,46
5vVMgXdThC0,"Passionate,Pop-Piano Cover,Epic","Powerful,Intense/Grand",30.5,511,1005.2459016393444,208.7644151565068,1,27,88,41
5wGK9f4kErg,"Cute,Emotional,New-age",Relaxing/Calm,30.525,311,611.3022113022114,204.04858299595116,1,31,83,38
63c67w4_G0o,"Relaxing/Calm,Dreamy,Emotional,Easy",New-age,30.58020833333333,159,311.9664815887182,159.24540575703358,1,48,93,28
6BbDr3E-gWk,"Upbeat/Energetic,Easy",Pop-Piano Cover,30.98958333333333,246,476.28907563025206,223.47235693501523,1,49,90,8
6dHJWCN2ZSg,Sad,Classical,30.569791666666667,244,478.90414693154327,274.7643979057595,1,62,97,30
6Fqofur62wM,Laid-back,"New-age,Emotional,Relaxing/Calm",41.64225,195,280.9646452821353,184.7608922778012,1,37,83,22
6gA7DDIL7WU,"Laid-back,New-age,Relaxing/Calm",Emotional,31.48958333333333,214,407.75388686735033,184.44151440949315,1,45,90,31
6IrJzEQLKHE,"Dark,Mysterious,Classical,Relaxing/Calm",,30.98958333333333,369,714.4336134453781,169.3684479672717,1,14,84,31
6k-IBC2815s,"Classical,Relaxing/Calm",Emotional,38.621875,265,411.683793187151,176.68711656441727,1,23,84,26
6K92schczKM,"Happy,Playful,Intense/Grand,Funk","Bright,Difficult/Advanced,Speedy,Upbeat/Energetic",31.479166666666668,347,661.3898080741232,222.7378190255223,1,29,103,41
6KupmUT_part_12,Ballad,"Relaxing/Calm,Sad,Pop-Piano Cover,Emotional",31.48958333333333,195,371.5514389679127,178.23220772231934,1,14,90,34
6Oi7ASw-GwU,"Passionate,New-age,Emotional",,30.98958333333333,264,511.1394957983193,230.4000000000001,1,59,92,28
6pIxvyKlGgs,"Bright,Relaxing/Calm,Laid-back,Happy,Easy,Emotional",,31.70625,305,577.1732702542874,223.8565022421525,1,10,79,28
6rrnRqb4XU8,"Happy,New-age,Bright,Dreamy","Laid-back,Relaxing/Calm,Emotional",34.130208333333336,213,374.4483442698001,189.7411764705881,1,23,82,37
6tsNJZCdmKM,"Passionate,Epic",,31.48958333333333,483,920.304333443599,212.3811372016304,1,33,95,34
76b3CTYc5tQ,"Emotional,Pop-Piano Cover,New-age,Mysterious",,30.98958333333333,378,731.8588235294118,177.55856966707736,1,39,89,37
78LoeENYVvI,Pop-Piano Cover,,31.479166666666668,178,339.272005294507,128.42809364548492,1,28,94,46
78MJrhWejKw,,"Difficult/Advanced,Relaxing/Calm,Speedy,Mysterious,Classical,Dreamy,Emotional",41.24479166666666,381,554.2517994696301,230.23983315954123,1,25,65,39
7bgGUTe7KG0,Emotional,"Laid-back,New-age,Relaxing/Calm",30.490625,155,305.0117864097571,111.38419312581875,1,29,82,20
7dnfni450P4,"Relaxing/Calm,New-age",Emotional,41.56041666666667,198,285.84891473256806,146.6478076379066,1,25,71,33
7DuOlfK6BC8,"Easy,New-age",Relaxing/Calm,30.98958333333333,371,718.3058823529411,207.19424460431725,1,22,77,25
7hNU-YdALXw,Relaxing/Calm,"Pop-Piano Cover,Emotional",38.48020833333333,149,232.32722449311063,139.9190283400811,1,16,93,25
7iA_91aVRkM,"Pop-Piano Cover,Laid-back,Easy,Emotional,Relaxing/Calm",,31.48958333333333,186,354.4029110155475,163.7982195845697,1,30,81,29
7kPivcuGIXM,"Laid-back,Relaxing/Calm,Pop-Piano Cover",Emotional,35.208333333333336,163,277.77514792899404,160.38186157517902,1,39,89,33
7LEpbLUM9_E,"Emotional,Easy,Bright",Relaxing/Calm,31.917708333333334,218,409.8038575764498,180.17780704642743,1,32,88,30
7LlDGyU_part_3,"Dreamy,Emotional,Relaxing/Calm,Sad",New-age,30.98958333333333,505,977.7478991596638,206.36459430980003,1,33,95,33
7mC-0OfJYck,"Laid-back,New-age,Happy,Bright,Pop-Piano Cover","Relaxing/Calm,Dreamy,Emotional",30.48958333333333,161,316.82951827810047,172.33601841196784,1,19,76,23
7XxGf4_nPuw,"Tense,Epic,Sad,Mysterious",Dark,30.48958333333333,507,997.717799795012,229.7959648922832,1,31,94,23
81U88fTv02w,Upbeat/Energetic,"Tense,Powerful,Easy,Dark,Epic",31.48958333333333,176,335.348991068475,170.9959922814309,1,69,96,25
826gtos_part_11,"New-age,Laid-back,Emotional",Relaxing/Calm,31.55,209,397.4643423137876,188.0077369439072,1,25,95,27
826gtos_part_4,"New-age,Dreamy,Classical","Relaxing/Calm,Emotional",31.48958333333333,264,503.0234866027125,216.05401350337533,1,16,94,23
897DYVnZVBM,"Laid-back,Emotional",Pop-Piano Cover,41.24166666666667,189,274.96463932107497,124.62137602769369,1,38,93,22
8bgQpFNxmb0,Relaxing/Calm,"Emotional,Dreamy,New-age",31.48958333333333,227,432.5239827985445,219.18686160624856,1,26,69,13
8b_RWmKJvug,,"Tense,Mysterious,Dark",30.988541666666663,135,261.38693737604626,190.3458043196034,1,35,89,14
8e3xeck2BFg,"Passionate,Happy,Emotional,Bright,Upbeat/Energetic",Pop-Piano Cover,30.98958333333333,366,708.6252100840336,184.88101826231343,1,27,94,22
8hXZt5tjUuM,"Bright,Happy,Epic,Powerful,Pop-Piano Cover",,31.010416666666668,268,518.5354383607659,208.9322149172524,1,49,96,39
8h_mf7mJ-Y0,"Relaxing/Calm,Happy,Bright",Emotional,31.48958333333333,144,274.3764472378432,137.0424597364568,1,52,86,17
8iYyaNhrkkE,"Happy,Easy","Laid-back,Relaxing/Calm,Bright,Emotional",38.53854166666667,183,284.90958726383224,168.47031295700472,1,37,106,32
8KujGcZ_part_1,"Relaxing/Calm,Laid-back","New-age,Emotional",31.089583333333334,435,839.5094820076393,243.2725956317121,1,18,86,14
8ljSPfciC08,"Sad,Speedy,New-age,Intense/Grand","Difficult/Advanced,Emotional",31.48958333333333,418,796.4538537876282,235.6956294619531,1,41,95,56
8PLHqB2sCHY,"Dreamy,Easy,Playful,Emotional","Bossa Nova,Relaxing/Calm,Latin,Mysterious",30.98958333333333,253,489.84201680672265,203.40288924558604,1,29,87,30
8TIpMzTQpMg,"Emotional,Bright,Happy",New-age,31.53020833333333,476,905.79801116654,184.15728192403125,1,36,91,29
8wagEduyQnI,Emotional,"Pop-Piano Cover,Relaxing/Calm",43.15329166666667,182,253.0513798194228,86.19886930495515,1,38,84,24
8yMiyLi6P9Q,"Laid-back,Dreamy","Relaxing/Calm,Pop-Piano Cover,Emotional",39.10520833333333,171,262.36914307024324,159.2039800995026,1,29,87,34
8yNJH7D4rN4,"Dreamy,Relaxing/Calm,Easy","Emotional,Pop-Piano Cover",31.00520833333333,210,406.3833361330422,219.5958825772016,1,31,85,32
8ztPgQ_XKbM,Laid-back,"Relaxing/Calm,New-age,Emotional",30.98958333333333,189,365.9294117647059,196.2825278810409,1,31,111,29
9-EpR2tCpog,"Pop-Piano Cover,Dreamy","Laid-back,Mysterious",32.63854166666667,223,409.9447866466664,165.8150413817918,1,41,95,38
99WidVj928M,,Emotional,33.369791666666664,285,512.4395192757921,171.769383697813,1,31,89,34
9cfDrONba54,"Easy,Bright",Playful,34.0,366,645.8823529411765,153.1178004506445,1,57,94,41
9Fx5K387m9Y,"Bright,Pop-Piano Cover,Emotional","Easy,Happy,Relaxing/Calm",30.48958333333333,124,244.01776563033823,114.7982062780269,1,51,88,26
9h2W0znzz9Y,"Classical,Emotional","Easy,Happy,Cute,Playful,Bright",30.48958333333333,237,466.3887939870175,203.0271615177277,1,60,93,25
9I8fGeDaQYQ,Emotional,"Relaxing/Calm,New-age",37.55520833333333,205,327.517820985771,159.4463667820069,1,16,76,29
9iZxKQn6jdE,"Relaxing/Calm,Mysterious,Dreamy,Emotional,Laid-back,New-age,Dark",,30.48958333333333,307,604.1407584557568,143.9672801635994,1,33,82,35
9J8E1eZAM18,"Easy,Emotional","Relaxing/Calm,Laid-back",31.488541666666663,179,341.07644976678023,169.16299559471383,1,21,78,35
9kifcFhQdLo,"Playful,Happy,Emotional,Easy,New-age","Cute,Bright",30.98958333333333,290,561.4789915966386,167.6855895196509,1,39,92,42
9LSKIHmIjMs,"Mysterious,New-age,Easy","Sad,Dreamy",30.98958333333333,292,565.3512605042016,200.9691800736576,1,12,80,29
A0ekDGJiROg,"Emotional,New-age,Happy",Upbeat/Energetic,30.98958333333333,291,563.4151260504201,194.46320054017573,1,50,86,33
a3VZWqMm4Co,,"Laid-back,Relaxing/Calm,Emotional",42.69166666666666,195,274.05816904157723,149.05730129389931,1,23,90,39
A5Bmati05XI,"Relaxing/Calm,Tense,Emotional,Dark,Classical",Mysterious,31.035416666666663,166,320.9236759079009,231.68715083798904,1,15,82,28
adSMHTAqqmI,Dreamy,"Sad,Relaxing/Calm,New-age,Emotional,Dark",31.48958333333333,199,379.1730069467416,179.09055577147302,1,34,89,30
AFsIj9qqHSA,"Easy,Emotional,New-age,Relaxing/Calm",,31.55,162,308.0824088748019,129.44897619443978,1,23,78,31
agIoJfSbQyM,Mysterious,"Emotional,Laid-back,Dreamy,Relaxing/Calm",42.9375,206,287.8602620087336,182.7232796486093,1,33,99,31
AhIwlukaS50,"Powerful,Passionate",Pop-Piano Cover,30.98958333333333,466,902.2386554621849,203.61532899493864,1,49,105,30
AJmaI_2XMwU,,"Emotional,Pop-Piano Cover",31.48958333333333,199,379.1730069467416,177.8300499852986,1,36,97,19
ajrNelGN-s8,Passionate,Pop-Piano Cover,31.48958333333333,351,668.7925901422428,226.51685393258413,1,41,91,24
aKIJDfIsS2Q,,"Emotional,Relaxing/Calm,New-age",30.48958333333333,192,377.833959685685,242.5655976676385,1,35,88,20
AM0J302L3Ks,"Cute,Upbeat/Energetic","Happy,Playful,Bright",30.48958333333333,238,468.3566791937138,186.47482014388453,1,59,99,33
ampeLV7OO4c,"New-age,Relaxing/Calm,Sad,Laid-back",Emotional,40.969375,180,263.6115391069549,175.93158216249245,1,36,86,30
AMtDuZOzxKw,,"Relaxing/Calm,New-age,Emotional,Dark,Epic",30.48958333333333,218,428.9989750597882,135.9723987652079,1,51,94,36
aNafvFjWvq4,"Emotional,Classical,Easy",Sad,31.48958333333333,139,264.84948726430696,149.46249845545543,1,57,94,27
ANNKjs-XNwY,"Cute,Playful,Pop-Piano Cover,Emotional,Upbeat/Energetic","Happy,Laid-back,Relaxing/Calm,Bright",31.164583333333333,285,548.6997793970185,182.08640674394132,1,37,96,41
AP6Y1MkhaxE,"Dark,New-age,Tense,Emotional,Relaxing/Calm",,30.98958333333333,429,830.6016806722689,206.0296371997956,1,22,84,30
aP9mmatQ518,Easy,"Emotional,Laid-back,Relaxing/Calm",30.98958333333333,147,284.6117647058824,91.76845459373337,1,55,97,32
ASaZKkqKBF8,Relaxing/Calm,"Mysterious,New-age,Dreamy,Emotional,Epic",31.0,469,907.7419354838707,201.75131348511323,1,25,97,33
asUUKGlCvDM,Relaxing/Calm,Emotional,31.48958333333333,274,522.077406549785,154.95231107850327,1,31,90,42
Av-SOyOSPUo,"Epic,Dreamy",Emotional,39.52291666666667,186,282.3678245743503,228.57142857142816,1,12,99,26
AveqPe2lJro,"Dreamy,Relaxing/Calm",New-age,31.48958333333333,335,638.3063182269269,183.12545854732184,1,28,86,23
AVMewBIJKBo,"Easy,Sad,Relaxing/Calm,Dreamy","Laid-back,Bright,Pop-Piano Cover,Emotional",38.815,195,301.4298595903646,162.4365482233503,1,22,81,33
AW8MlO1RdZc,Pop-Piano Cover,"Passionate,Powerful,Intense/Grand",31.7875,463,873.9284309870233,179.31954636424285,1,50,98,46
aWjQUVKBXE0,"Easy,Bright,Upbeat/Energetic",Pop-Piano Cover,31.813541666666666,191,360.22396123244164,171.53067301965456,1,51,91,14
AWyFcV3wjdo,"Laid-back,Sad,Emotional,Pop-Piano Cover,Relaxing/Calm",Easy,31.48958333333333,216,411.5646708567648,147.36842105263162,1,32,90,26
aZ7Whc6RE-0,"Happy,Dreamy","New-age,Emotional,Relaxing/Calm",34.54199600208333,136,236.23417707268123,207.15633282765185,1,18,77,25
B-ACF_0vzJ4,"Difficult/Advanced,Upbeat/Energetic","Emotional,Playful",37.110416666666666,224,362.1624656150003,213.28067143915104,1,34,95,37
b21Mva1YcYo,"Emotional,Happy,Cute,New-age",,30.48958333333333,267,525.4253501879058,209.94532673782865,1,27,91,32
b2LtpiAaSrI,"Relaxing/Calm,Bright,Pop-Piano Cover",Emotional,30.98958333333333,331,640.8605042016807,148.15798207766343,1,22,85,33
B3YMRO_GJlQ,"Easy,New-age,Relaxing/Calm",,40.348958333333336,220,327.145991996902,160.40506329113902,1,28,90,15
b5qgdo57UdI,"Laid-back,New-age,Bright,Pop-Piano Cover","Relaxing/Calm,Emotional",31.094791666666666,212,409.0717228903554,223.7148732008224,1,28,86,27
B8tpuMPsL8Q,"Tense,Bright,Dreamy,Playful",,37.60625,204,325.47781286355325,209.37440214272044,1,26,82,29
bA2TD9twz8A,"New-age,Sad,Relaxing/Calm,Emotional",,30.48958333333333,269,529.3611206012984,240.67631911378885,1,32,95,50
BBa0xpkzfNc,"Pop-Piano Cover,Powerful","Emotional,Intense/Grand,Passionate",30.48958333333333,282,554.9436282883499,203.0850594975762,1,44,104,44
BBoDuln9eRA,Ballad,"Relaxing/Calm,New-age,Emotional",30.556910475,240,471.25183063848345,175.19605373012558,1,34,90,31
BcP3wONHLB8,Dreamy,"Emotional,Classical,Relaxing/Calm",31.48958333333333,234,445.8617267614952,201.12812248186944,1,19,84,27
Bd7aIuXps1g,Relaxing/Calm,"Mysterious,New-age,Dreamy",37.00625,200,324.2695490626583,196.0209424083764,1,39,89,34
bEdcZDm4uB0,"Dark,Emotional,Relaxing/Calm","Sad,New-age",31.48958333333333,125,238.1739993384056,196.58703071672363,1,4,69,20
BexA3pzAqr4,"Emotional,Pop-Piano Cover,New-age,Intense/Grand",,31.48958333333333,395,752.6298379093615,190.0571931368234,1,31,88,41
BhdS6e8SHEo,"Relaxing/Calm,Dark,New-age",,31.48958333333333,167,318.2004631161098,133.0693069306931,1,60,86,27
