Title,Genre,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
Gone With The Wind,Jazz,303.6335610583333,2352,464.7707569219872,190.0557233799905,1,1,118,70
Good Black Woman,Jazz,251.07509983333333,789,188.54916330382767,129.0013726776269,1,27,127,40
Green Dolphin Street,Jazz,132.8332005,1244,561.9077137270363,210.6964770940545,1,5,108,69
Half A Minute,Jazz,226.29412554166663,1546,409.9090057153095,145.76531030418172,1,1,127,39
Hallelujah I Love Her So (SingleLP Version),Jazz,156.03459046875005,984,378.3776393595514,125.29847099156858,1,31,127,45
Have You Met Miss Jones (latin),Jazz,122.17269004166668,1175,577.052039829492,207.04047097726385,1,1,101,68
Have Yourself A Meery Little Christmas,Jazz,173.268607,735,254.51811937288792,165.13036546168163,1,36,127,48
Heliotrope Bouquet,Blues,234.795,2252,575.4807385165783,189.5734597156377,1,28,111,58
Holdin Back the Years,Jazz,271.973393425,651,143.6169895448662,133.5273394909424,1,50,127,12
How Come You Like Me,Jazz,167.025,2028,728.5136955545577,195.475113122172,1,1,100,74
How Deep Is The Ocean (old),Jazz,268.52607274166667,2384,532.685703624804,196.173393222308,1,1,105,71
How Deep Is The Ocean (solo),Jazz,290.26838109375,1862,384.8851865264546,190.41941796629112,1,1,118,85
How Deep Is The Ocean (trio),Jazz,268.52607274166667,2383,532.4622616350285,196.173393222308,1,1,105,71
How Do You Keep the Music Playing,Jazz,130.666536,1012,464.6943422453627,182.97443684916476,1,52,102,54
Hymn To Freedom,Jazz,202.498125,1354,401.1888998972212,163.302336130643,1,16,118,70
I Am A Singer,Jazz,183.63618,789,257.79233700025776,132.54403111772365,1,28,100,39
I Cant Get Started,Jazz,274.29458159166666,2360,516.2333108380365,183.06460767314624,1,1,99,77
I Concentrate On You,Jazz,182.1411481458333,1597,526.0755242592445,188.96059134124224,1,1,101,61
I Could Write A Book,Jazz,269.5125,2231,496.6745512731321,144.28857715430834,1,1,95,67
I Cover The Waterfront,Jazz,273.575,1708,374.59563191081054,173.84305835010304,1,1,115,67
I Cried For You,Jazz,221.77497915625003,615,166.3848651474897,121.0901636931553,1,73,76,22
I Fall In Love Too Easily,Jazz,304.239375,1125,221.86477342060016,150.43092191172616,1,1,99,60
I Get Lonely (Album Version),Jazz,316.681,1214,230.0106416235897,145.83333333333394,1,1,121,26
I Just Cant Stop Loving You,Jazz,233.38223625000003,1281,329.330977519931,158.76781347389476,1,40,127,45
I Left My Heart In San Francisco,Jazz,147.386378375,247,100.552033121358,183.9483687019392,1,44,109,43
I Never Knew,Jazz,168.36485304791668,1541,549.1644979708791,199.5242027540585,1,1,127,54
I Should Care  take 2,Jazz,271.015602,2476,548.1603232569614,179.36749043954796,1,2,127,68
I Should Care,Jazz,183.09267405000003,2239,733.7267899823978,199.01303218183773,1,6,110,70
I Thought About You,Jazz,258.0837981166667,2680,623.0534468781741,197.56516532102663,1,1,110,62
I Want To Be Happy,Jazz,206.28125,1628,473.5282532949553,193.80888290713196,1,8,126,66
I Want You Back,Jazz,169.33815062500005,981,347.58853679904473,196.02768422073888,1,100,100,39
I Wish I Knew How it Would Feel ,Jazz,57.3,228,238.7434554973822,187.09677419354813,1,63,100,34
I Wish I Knew How it Would Feel to,Jazz,57.3,297,310.9947643979058,187.0967741935483,1,63,100,33
I Wonder Why,Jazz,140.25,676,289.19786096256684,166.66666666666694,1,110,110,28
If I Should Leave You ,Jazz,206.93429015,1904,552.0593030627795,203.81929861581105,1,1,103,59
If I Were A Bell,Jazz,157.15666666666667,1926,735.3171993976288,209.1633466135425,1,1,115,60
If You Dont Know Me By Now,Jazz,230.468736,1589,413.6786691970229,194.0597525659761,1,13,107,39
Ill Close My Eyes (trio) ,Jazz,218.5997814,2262,620.8606391589008,201.02393299228925,1,1,123,63
Illumination,Jazz,220.4453125,2738,745.2188397065598,227.2982406154312,1,11,122,38
Im Confessin,Jazz,213.36081622500004,2003,563.2711859953889,183.54119301746888,1,1,96,70
Im In The Mood For Love,Jazz,165.77216395,656,237.43431383251848,114.3397007736382,1,112,112,37
Im Old Fashioned,Jazz,306.1809895833333,2053,402.3110649933872,189.7969991173795,1,1,127,71
In A Sentimental Mood,Jazz,198.550727375,1713,517.651087753916,176.1491819382572,1,2,100,55
In The Mood,Jazz,207.91875,1033,298.097213454775,143.9915299100051,1,19,103,36
In The Rain,Jazz,188.7246133645833,257,81.70635363926394,113.68456294846128,1,32,100,11
Isfahan (Elf),Jazz,195.044,1641,504.8091712639199,176.93315858453394,1,1,103,63
It Could Happen To You,Jazz,255.12509209687505,1792,421.44031822308153,151.1112622223731,1,1,122,63
Its Easy To Remember,Jazz,208.1208333333333,1434,413.41368195559465,171.97452229299344,1,1,96,74
Its The Talk Of The Town,Jazz,291.29166666666663,2105,433.58603919324855,158.9610389610378,1,1,113,61
Ive Grown Accustomed,Jazz,201.95407266666663,1853,550.5212077773102,199.30540719521255,1,1,99,68
Jag Ger Mig Inte,Jazz,276.9460697770833,1575,341.22166844997656,128.6933487014424,1,1,127,37
Just Friends (trio),Jazz,189.7422345,1911,604.2935053555512,151.26890979551305,1,1,99,64
Justine Visits Drogheda,Jazz,155.31245858333332,365,141.0060738189235,104.2963241086494,1,31,113,23
Kathys Waltz,Jazz,293.81899074375,2036,415.7661820659513,167.70078047946433,1,38,125,62
Keep It In The Family (Album Version),Jazz,164.0,648,237.0731707317073,240.0,1,76,127,13
La Bayamesa,Jazz,164.5645451979167,669,243.9164520627749,182.8236306261124,1,1,127,43
La La Means I Love You,Jazz,216.0178905989584,688,191.0952832913139,101.63700733741054,1,10,122,31
Ladies In Mercedes,Jazz,177.3357201,2096,709.1633875514965,194.39271775720565,1,1,102,57
Laura,Jazz,310.70991656250004,3131,604.6153984345444,195.17529245155657,1,1,105,60
learning the blues,Jazz,199.7768190104167,820,246.27481928939227,104.99998250000314,1,80,95,42
Les Grelots (Petrucciani),Jazz,204.133904325,1955,574.6228211715758,194.5523102071996,1,1,123,64
Lets Fall In Love,Jazz,260.2,916,211.2221368178324,139.78796781198113,1,46,106,35
Like Being In Love,Jazz,247.06761007500003,2562,622.1778724995019,197.41500352546157,1,1,94,68
Linus  Lucy,Ambient,126.85351857291668,1078,509.8794320223865,175.0000729166969,1,100,106,52
Little Girl Blue,Jazz,314.2658333333334,1323,252.58870542189595,144.5783132530113,1,3,96,69
Lloyds Tone,Jazz,187.73821348958333,1878,600.1974659583732,214.9415130271478,1,15,127,56
Love Is Stronger Far Than We,Jazz,300.95834933333333,732,145.93381475306867,88.28330176932784,1,47,127,19
Love Of My Life,Jazz,284.72987400000005,1114,234.74881318565116,181.67460027925148,1,23,122,47
Love Walked In,Jazz,282.40759514583334,1890,401.54727404353633,164.09381468936098,1,1,122,75
Lover Come Back,Jazz,245.9571538255209,2731,666.2135963576826,179.61198637743,1,1,110,62
Lovin You,Jazz,207.5,533,154.12048192771084,156.0,1,51,115,26
MacArthur Park,Blues,138.352872,1304,565.5104868368761,184.87006879437243,1,35,125,42
Mad About The Boy,Jazz,242.4694545,1289,318.96801252547044,141.9624061133491,1,1,96,70
Madalena,Jazz,173.62064625000005,1857,641.7439538818671,155.06126325511175,1,1,102,33
Maiden Voyage,Jazz,250.66,1723,412.4311816803639,187.92710706150265,1,1,123,70
Main Title Theme Mulholland Drive,Jazz,287.3052871,393,82.07297623378822,259.9981825177354,1,66,116,14
Make It With You,Jazz,199.72983968750003,905,271.86723869081607,145.0205263064707,1,26,127,23
Make Someone Happy,Jazz,318.204850875,1932,364.29362934362274,171.2083720630516,1,1,115,69
Man In The Moon (Album Version),Jazz,272.96878437500004,343,75.39323606954095,205.48870315152007,1,23,127,48
Manteca,Jazz,321.333012,3991,745.2082140878822,190.22035244514905,1,21,125,67
Mas Que Nada,Jazz,164.9417615,1397,508.1793672974688,162.33717605399093,1,40,127,39
Memories Of Paris,Jazz,291.84078841875,1319,271.17525425008574,120.39340048526068,1,1,122,70
Merry Christmas Darling,Jazz,173.33316,593,205.2694360386668,152.1351484667694,1,37,85,22
Merry Christmas,Jazz,301.3125,1443,287.34287492221534,131.9947621126146,1,1,127,55
Mike Pee,Jazz,263.51875,1424,324.22740317339844,135.20261186863826,1,1,119,69
Milestones,Jazz,111.215797875,769,414.8691182511556,195.1752924515567,1,1,118,43
Miyako,Jazz,244.5495769,1505,369.250281045978,169.64318047530475,1,1,110,69
Mood Indigo,Jazz,265.1041666666667,2539,574.642043222004,184.09090909091185,1,1,95,75
Moon And Sand,Jazz,255.31953125,2709,636.6140467367788,185.89770574615824,1,1,110,66
Moon River,Jazz,86.1,546,380.4878048780489,190.99726436209903,1,56,100,50
Moonlight In Vermont,Jazz,235.30863682500004,1261,321.5351591886899,171.8072718674805,1,1,103,76
Moonlight serenade,Jazz,195.428376,627,192.5001925001925,77.77785555563308,1,5,80,36
Mr B Dies,Jazz,273.67535315625,389,85.28352930150217,188.66506271763137,1,38,107,35
My Baby Just Cares For Me,Jazz,218.9394178125,1706,467.5265926196133,181.9440264364673,1,13,106,48
My Heart Stood Still,Jazz,261.848,1775,406.7245119305857,166.66666666666612,1,1,113,65
My Mans Gone Now,Jazz,305.3138390375,1672,328.57993046190825,182.03439799430657,1,1,113,60
My Romance,Jazz,285.35596464375,2064,433.98426997875055,168.18558092358234,1,1,113,74
My Shining Hour,Jazz,133.02260785,1225,552.5376564777669,182.6873606836076,1,1,105,61
My Ship,Jazz,194.949375,1535,472.4303424927626,175.3958587088905,1,1,101,66
Mädchen Mit Roten Haaren,Jazz,251.8174802541667,1631,388.6148010901669,183.73279684292115,1,1,109,20
Nardis,Jazz,298.194791090625,1687,339.4425490458618,185.8842676580497,1,1,113,62
Never My Love,Jazz,156.0,1065,409.6153846153846,164.59382228874628,1,1,117,43
Noisy Nights,Jazz,265.99598437500003,1083,244.2894021602652,235.99980333349703,1,77,127,19
Old Folks,Jazz,293.7575,2048,418.3042135094423,187.76556282457963,1,1,123,73
Once Upon A Summertime,Jazz,222.95674934895837,931,250.541865913964,112.64461193074692,1,1,113,57
One Less Bell To Answer,Jazz,171.28165733333333,612,214.38372661550537,90.5808534972534,1,39,110,43
Ordet Är Farväl,Jazz,207.57267040625,1153,333.2808691269648,141.20854361700256,1,80,127,37
Original Rags,Jazz,264.9881028,2994,677.9172276107183,168.13626410275424,1,50,105,53
Our First Dance,Jazz,293.0,1327,271.740614334471,137.7821393523065,1,45,108,35
Our Love Is Here To Stay (trio),Jazz,247.12760416666663,2529,614.0147739127686,139.93569131832743,1,1,101,62
Out Of Nowhere (1),Jazz,307.5791015625,2364,461.1496661491423,184.61538461538456,1,1,123,62
Out Of Nowhere (2),Jazz,173.092903125,1702,589.9721950255434,189.63142180398543,1,1,99,69
Palm Leaf Rag - A Slow Drag,Jazz,237.985,2211,557.4300901317309,212.89178001182736,1,6,120,65
Passion Flower,Jazz,251.3708333333333,408,97.38600009945466,186.5992414664969,1,1,124,36
Pavane,Ambient,312.96250000000003,876,167.94344370331908,135.0210970464117,1,70,127,37
Peace Piece,Jazz,145.09635416666666,523,216.27007914999007,170.03690036900426,1,9,117,30
Peanuts Theme,Jazz,105.599956,908,515.9093058713016,175.0000729166969,1,63,122,36
Pent Up House,Jazz,188.28866495833336,1492,475.4401972089504,199.6392647881095,1,1,105,58
Penthouse Serenade,Jazz,177.61119991666666,1614,545.2358862810247,177.20198393786808,1,2,96,63
Periscope,Jazz,194.52916666666667,1770,545.9335575213657,191.4327917282123,1,1,123,54
Piano Sonata No 11 in A K331300i (2008 Digital Remaster) II   Menuetto,Jazz,212.75,1575,444.18331374853113,216.57922350472185,1,5,121,48
Piano Sonata No 14 in C sharp minor Op 27 No 2 Moonlight (2008 Digital Remaster) II     Allegretto,Jazz,128.86418595833334,889,413.9241605673654,178.07888600515466,1,42,86,37
Piano Sonata No8 in C minor_ Op13 Pathétique (2008 Digital Remaster) III Rondo Allegro,Jazz,264.31510416666663,2392,542.9882656630245,213.20388349514715,1,6,119,58
Pick Yourself,Jazz,269.06599412500003,2685,598.7378692127023,204.0182917921744,1,1,123,65
Pictures at an Exhibition Bydlo,Classical,174.0,980,337.9310344827586,98.2897033158818,1,2,123,57
Pictures at an Exhibition Promenade,Classical,86.39972374999999,813,564.5851385028301,211.6161420146525,1,24,78,55
Pictures at an Exhibition Tuileries,Jazz,83.04041717708333,802,579.4768576051865,213.2432142454552,1,12,93,55
Piece By Piece,Jazz,199.01151734375,693,208.93263141237904,123.43190002598702,1,73,76,30
Prelude To A Kiss,Jazz,315.12707066666667,1852,352.61965836486286,183.5611003804019,1,32,127,55
Pure Imagination,Jazz,241.84341780000003,1228,304.65993521862964,141.61552168235352,1,1,94,69
Rachid,Jazz,78.815830275,765,582.3703162150061,186.50397633398555,1,2,108,58
Rays Blues,Jazz,255.645,1424,334.21346007158365,203.15505963832288,1,6,127,61
Rock and Roll Waltz,Jazz,152.56318770833334,1324,520.7022820726025,148.2375176804122,1,92,126,45
Round Midnight,Jazz,158.90184616145837,355,134.04501278328328,202.3025199453969,1,53,99,22
Runaway,Jazz,258.70625,385,89.2904597395695,53.76518218623481,1,45,90,14
Sammy Walked In,Jazz,214.122879634375,1792,502.14157489192894,202.872492876592,1,8,115,64
See You When I Git There,Jazz,270.251475625,242,53.72773623685186,66.53671843929041,1,38,91,1
Send In The Clowns,Jazz,281.83756905,1540,327.8484139337988,179.97288186613508,1,1,108,58
Send It (Album Version),Jazz,237.073068,668,169.06180165517577,152.22106043759942,1,33,91,25
Sheep May Safely Graze,Jazz,307.0625,2162,422.4547119886016,151.5124945199478,1,10,115,61
Shenandoah,Jazz,168.68229166666666,615,218.7544385092784,118.3815028901732,1,12,105,42
Shiny Stockings,Jazz,239.06174296875,2876,721.821893612467,171.4576620167063,1,13,115,58
Si No Hay Amor,Jazz,251.5625,987,235.40869565217392,62.24101479915433,1,17,103,50
Silver and Gold,Jazz,70.90340318229168,189,159.93590562705452,88.8461612500006,1,58,112,16
Sithunyiwe Thokozile No3,Jazz,156.0226716583333,1288,495.3126310337245,153.6598527281985,1,16,107,37
Sleepwalk,Jazz,194.1159,1191,368.1305859025458,174.17833247436428,1,25,125,43
Sleigh Ride,Jazz,197.333136,1175,357.2638707773843,99.18637733743915,1,24,81,34
Snowy Morning Blues (Alternate Take),Jazz,211.51979166666663,2424,687.595230942731,226.23499742157,1,5,125,66
So In Love (trio),Jazz,301.4740575,2917,580.5474655145077,205.69165963172384,1,1,118,61
Solseggietto,Jazz,60.869620000000005,562,553.9709299975915,271.8976211457994,1,51,113,47
Someday My Prince Will Come,Jazz,154.28491200000002,817,317.723874386369,107.44515899533162,1,46,127,45
Something to Remind You  - Album Version,Jazz,296.86509420833335,1315,265.7772892108013,162.39999187999973,1,2,126,47
Song for You,Jazz,279.5541666666667,1025,219.9931438451105,95.18039107683856,1,15,90,45
Sonnymoon For 2,Jazz,233.1283383,2189,563.3806724559834,200.84408270062352,1,2,123,75
Sophisticated Lady,Jazz,190.52604166666663,876,275.86780022416013,182.3746701846962,1,1,122,68
Soul Eyes,Jazz,227.650625,1235,325.4987769086951,171.51607963246528,1,2,95,67
Spain,Jazz,239.63125,1894,474.22863253436265,210.1313320825521,1,20,105,66
Speak Low,Jazz,293.99632762500005,3094,631.4364587464802,192.79220321339287,1,1,108,73
Spinning Wheel,Blues,174.34302711197915,470,161.7500881287748,186.95992737803147,1,31,127,39
Spring Is Here 2,Jazz,308.3567158416667,1908,371.2583320506713,195.3190725114836,1,1,105,36
Spring Is Here 3,Jazz,255.75,1852,434.4868035190616,154.92957746478908,1,2,113,63
Squeeze Me (solo piano),Jazz,298.97265625,2238,449.1380639429296,188.1702528663412,1,1,115,75
Stars Fell On Alabama (duet),Jazz,206.00353260104168,2163,629.9891965995527,198.4456861070538,1,1,108,64
Stella By Starlight (solo),Jazz,136.553434875,549,241.2242506397077,128.13572135606006,1,1,103,61
Stella By Starlight,Jazz,316.66770833333334,1428,270.5675310278585,81.62879682554677,1,31,113,44
Still Such A Thing,Jazz,281.0193618375,1038,221.6217401988605,129.23089846166746,1,4,127,42
Stormy Weather,Jazz,285.74813470833334,2541,533.5467899225932,188.36589675915573,1,1,110,70
String Segue (Album Version),Jazz,245.42609385937504,965,235.91623486121944,115.11788813716038,1,49,84,33
Strollin ,Jazz,180.3426768,2007,667.7288046109338,191.21970341482523,1,1,99,71
Suite from Carmen Prelude,Jazz,213.142085075,2230,627.7502631773482,177.2661854605764,1,40,89,57
Sweet And Lovely (2),Jazz,272.05994585416664,1764,389.0319086394799,194.0478721256396,1,1,111,57
Sweet And Lovely,Jazz,238.649244275,2567,645.3823076955562,200.0681327053477,1,1,108,59
Sweet Lorraine,Jazz,221.61,1574,426.15405441992687,179.3478260869562,1,1,125,71
Sweet_ Sticky Thing,Jazz,278.87449437500004,1517,326.38337974933705,217.38583037080676,1,2,126,48
Take Away My Pain,Jazz,278.1,919,198.27400215749728,137.21163490471406,1,4,103,53
Takin It To The Streets,Jazz,238.18614735000003,1921,483.9072350863145,214.0748566683195,1,16,109,36
Taking A Chance (on Love),Jazz,305.28557172083333,3363,660.9549179235911,203.9407275190663,1,1,125,70
Tammy,Jazz,124.571522,175,84.28892760899237,169.41163764715387,1,34,84,26
Tattoo,Jazz,129.3125,1192,553.0787820202996,217.49323715058617,1,60,127,57
Tennessee Waltz,Jazz,144.867574625,525,217.43996254192828,164.5715108571838,1,42,127,25
That Old Devil Called Love,Jazz,312.7105984166667,2006,384.8926151189416,165.311332813376,1,1,101,70
The Closest Thing To Crazy,Jazz,242.919402,880,217.35604305497176,127.13510792050664,1,49,93,16
The Conversation,Jazz,251.6100281640625,407,97.0549551549548,119.04731056637412,1,50,110,19
The Duke,Jazz,203.25496525625,1542,455.1918320094031,160.78651954526853,1,1,95,67
The Easy Winners,Ambient,199.17164466666668,2519,758.8429580573462,185.92830676556372,1,1,117,48
The End Of A Love Affair,Jazz,186.89267025000004,915,293.7514880950768,165.18905599464537,1,1,113,72
The End Theme,Jazz,276.176176,558,121.22696636946702,236.90347850349636,1,52,127,21
The Folks Who Live,Jazz,190.74166666666667,981,308.58490978199137,146.88112985484537,1,1,101,71
The Groove Line,Jazz,294.44140625,867,176.673521100601,109.60629921259844,1,95,118,36
The Last Song (Album Version),Jazz,195.580784,560,171.7960185700043,75.3810458715505,1,32,77,20
The Long and Winding Road,Jazz,208.5404154166667,985,283.3983037864261,120.87663766858508,1,111,127,29
The Man That Got Away,Jazz,189.5625,1620,512.759643916914,154.43155452436193,1,1,98,59
The Masquerade Is Over,Jazz,297.04692285,3460,698.879483443873,196.89148704707355,1,1,123,66
The More I See You,Jazz,230.50646592187505,2258,587.7492393029786,202.2879807346981,1,1,110,63
The Peace Offering,Jazz,298.37385703125,716,143.98044261465108,82.22230444452678,1,64,64,23
The Peacocks,Jazz,259.68333333333334,1431,330.633463834157,180.5207328833167,1,1,113,59
The Peanut Vendor,Jazz,272.387211625,2161,476.01353685614686,191.31691500086984,1,1,115,58
The Speak Up Mambo (Cuentame) (LP Version),Jazz,185.53506,1067,345.0560772718644,192.2724325576221,1,49,114,39
The Summer Wind,Jazz,210.854620753125,2461,700.292929187854,193.333945557494,1,1,103,63
The Trouble With Hello Is Goodbye (LP Version),Jazz,236.8137339,894,226.5071333348036,139.8995324623203,1,19,121,30
The Way You Look Tonight (trio),Jazz,192.56975665625,2106,656.1778037948146,183.58929242990413,1,1,108,62
Theme From Shaft,Jazz,243.559525,560,137.95395601958086,204.23059903860343,1,52,127,21
Theme From Spartacus,Jazz,278.25,1198,258.3288409703504,147.1343028229255,1,1,110,57
There Is No Greater Love,Jazz,214.38333333333333,2391,669.1751535411646,210.4265402843622,1,1,108,66
They Say Its Wonderful,Jazz,211.7051194875,1048,297.0169080096937,167.84570112541215,1,1,103,74
