Title,Tags,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
0BwsdD-PQTI,"Japanese, animation, emotional, acoustic, cover, jazz, pop, K-pop, New Age, cafe, romantic",114.0,1139,599.4736842105264,233.3994309854301,1,44,101,37
0E9ubKtQeJk,"jazz, improvisation, solo, original composition",78.2963125,655,501.93934739902346,213.271019578642,1,17,93,55
0F2f85S_qjo,"relaxing, jazz, bebop, blues, swing, healing",159.03125,578,218.07034780899983,144.72361809045236,1,33,87,48
0hW1iKWH_E4,"jazz, ballad, acoustic, relaxing, peaceful, rubato, standardjazz, solo, meditation, stressrelief, deepsleep, relaxation",254.1625,1189,280.68656863227267,167.726280029119,1,27,98,61
0JW9OAELXp8,"jazz, arrangement",228.5,3143,825.2954048140044,227.95250989377072,1,32,107,79
0NSpQeDCF1k,"Bossa Nova, Jazz, Relaxing, Healing, Improvisation, Swing, Bebop",87.96041666666666,568,387.4470050448829,168.63237139272272,1,42,92,40
0nXX44-jjY0,"jazz, classic",94.0,436,278.2978723404256,137.22756551663278,1,56,92,36
0pCKUEDPXNk,"jazz, urban, reflective",287.0,1179,246.4808362369338,166.8136641874546,1,34,100,54
0psmJz0UTX0,"classic, jazz",72.91875,514,422.9364875289277,171.5213860314022,1,44,89,35
0Qk4jVfWiUI,"funky, groovy, jazz, hard, fun",209.72916666666663,2952,844.5177312009537,200.9737098344684,1,23,112,76
0ROWKe4tdUg,"jazz, piano, solo",168.409375,1465,521.9424393683546,184.46757405924643,1,33,86,58
0sG7b3aiCTI,"jazz, solo, standard, new age, easy",354.2708333333333,1654,280.12466921493683,190.4342076261853,1,16,79,50
0VeCLEuLFYo,"jazz, advanced, romantic, emotional, nostalgic, solo",208.46875,2299,661.6819067606056,204.110559886605,1,13,100,72
0WkwwR_JNoI,"Blues, Jazz, Improvisation, Bebop",153.10833333333332,532,208.47983453981388,180.13245033112534,1,31,100,41
0xMAH83_Rxk,"Jazz, Bebop, Swing, Jazz Blues, Relaxing, Healing, Improvisation, Solo, Standards",125.75104166666668,526,250.97207610937613,185.4258121158912,1,37,82,43
0_cDRDBBZ7I,"tango, milonga, relaxing, jazz",302.7428125,1111,220.1868954362046,160.1796252999765,1,22,93,41
12ABFsZmB6o,"jazz, tender, standard",173.9,1560,538.240368027602,212.939001848426,1,21,100,69
17KhiVNifUw,"romantic, jazz, ballad, standard, famous",122.7875,629,307.3602769011504,192.71796890375924,1,25,97,51
1bbMY3CEYEI,"jazz, blues, swing, chilled, laid-back, smooth, easy-listening, lounge",199.61979166666663,1951,586.4147989667858,197.14386875958888,1,16,97,53
1G9EQFow83M,"jazz, cinematic, soothing",266.33958333333334,2992,674.0267359182748,211.9806677603869,1,27,103,70
1mm1_w05ahI,"Jazz, Blues, Swing, Gospel, Relaxing, Healing",122.978125,864,421.5383833506976,167.31091498156565,1,39,91,47
1P9EV19o41U,"acoustic, ballad, christian, contemporary, hymn, jazz, peaceful, relaxing, worship, meditation, healing, study, stress-relief, sleep, relaxation",159.28854166666667,679,255.76227626751765,193.2001829547189,1,34,95,52
1PJlhgcdymc,"emotional, romantic, cinematic, dramatic, inspirational, acoustic, cover, pop, jazz, new age, K-pop",203.9989583333333,1641,482.6495233329419,226.3997285374956,1,30,99,34
1PknGfKZEYc,"jazz, bossa nova, autumnal, solo, standard",260.65208333333334,1517,349.20112218554425,223.4994543470356,1,37,102,54
1pZqWwQnnvU,"jazz, blues, relaxed, soulful",163.128125,1263,464.5428248500986,207.9922965815992,1,35,107,56
1RfGdpXL150,"jazz, solo piano, minor blues, Latin, swing, stride",231.84791666666663,2099,543.2009129547926,217.9754020813619,1,29,98,59
1Tpz9vHWOZ0,"funk, punk, energetic, upbeat, jazzy",88.82708333333333,574,387.7195862748317,181.3733801622864,1,20,111,50
1WPhgqwHyfg,"jazz, medium tempo, stride, solo",305.7802083333333,2509,492.3144006622404,197.99730981916207,1,14,94,54
1xAVf4HJCI0,"Jazz, Swing, Old Jazz, Classic Jazz, Electroswing, Roaring Twenties, Solo Piano Jazz, Early Jazz, Stride Piano",205.47916666666663,3491,1019.3734157964108,209.5890410958907,1,52,89,64
1xklz428wCE,"jazz, improvisation, modern, solo",200.1395833333333,2087,625.6633391279004,187.85525702748964,1,16,93,54
1XuLLRcVZL4,"jazz, ballad, bossa nova, festive, soothing, relaxing",235.05104166666663,1411,360.1770891960523,173.47595804340978,1,35,88,62
2-uILxosk3I,"jazz, stride, swing, classic, early",231.81041666666667,3557,920.666133424404,211.01711849730373,1,40,90,71
21Uv-w13GF4,"Ragtime, Blues, Jazz, Atonal, Middle Eastern, Contemporary, Dance, Instrumental, Syncopated, Bumpy, African American, British",205.66979166666667,2132,621.9678590783162,166.27513438184369,1,25,96,58
23b1QUJhW-I,"jazz, pop, ost, acid jazz, smooth jazz, Latin, funk, ballad, kpop, new age, acoustic, cover",279.509375,2249,482.77450443299085,191.21453960163691,1,5,97,62
25WoJr5wKUc,"jazz, ballad, slow, emotional",333.9989583333333,1927,346.1687442887484,166.42335766423443,1,15,92,55
271ydzdquMg,"jazz, stride, solo, medium-tempo",239.9425,2260,565.1353970222033,207.4554294975673,1,17,94,59
27C9Sm12Jiw,"jazz, swing, emotional, sophisticated, solo",326.8458333333333,2397,440.0239664469743,179.57911145752126,1,18,99,58
2AnzvfQJuxg,"K-pop, jazz, repetitive",87.28125000000001,1071,736.2406015037593,203.73514431239477,1,29,104,48
2c-GPHUbkSY,"jazz, piano solo, arrangement",173.5,1487,514.2363112391931,182.33922025991336,1,21,88,61
2HBe6TxBElc,"jazz, ballad, Christmas, festive, soothing, romantic",264.72291666666666,1073,243.19768311205897,162.17738151102722,1,26,96,65
2hHogbPZxPU,"jazz, ballad, autumn",129.46125,636,294.7600150624221,182.58293405508192,1,20,94,52
2jtnyY3zZuw,"jazz, bossa nova, ballad, latin, relaxing, peaceful, acoustic, standard jazz",259.709375,1525,352.31689268052025,195.2402786611252,1,21,96,59
2MLx-bIwAvk,"jazz, classic, solo, variation, stride, swing",134.18854166666665,1433,640.7402519775503,217.35849056603664,1,28,86,47
2pKVPTUBHNw,"jazz, stride",294.6751902875,2191,446.1183171604675,200.94232531400797,1,18,97,52
2pNlEV3ul6M,"creepy, dreamy, dramatic, jazz, k-pop, pop, CCM",159.0,1244,469.433962264151,136.93189763669417,1,22,94,52
2pqJ-gdR-lw,"Jazz, Brazilian, Bossa Nova, Samba, Latin",178.768,1461,490.356215877562,217.92579347340276,1,20,86,55
2pS-khqMGNo,"jazz, bebop, blues, improvisation, swing, tutorial",250.25729166666667,1153,276.4355017960682,141.5549597855218,1,20,92,38
2R5lHqU4k2U,"pop, kpop, acoustic, new age, jazz",152.06041666666667,1828,721.2922495170504,189.58373668925623,1,34,99,35
2RLeI9JAoAc,"jazz, blues, solo",339.988375,3441,607.256056916652,205.40750826687355,1,18,97,67
2TAzydRrF28,"nostalgic, jazz, relaxing, night, solo",224.51445833333335,1886,504.0209919665529,199.09700734694675,1,20,97,69
2W9d5vy_v9E,"jazz, spirited, upbeat, traditional, cheerful, lively",134.6899375,1704,759.076749887125,207.71284747890587,1,37,99,70
2w_cxOjwJtA,"pop, jazz, emotional, advanced",284.90075,3187,671.1811042968473,193.30628184397628,1,16,98,45
2x9ZCeQtRWc,"jazz, slow, soothing, melodic",79.69375,520,391.4987059838445,173.16017316017417,1,17,92,40
2Y0pvfVBvAw,"jazz, gospel, hymn, faithfulness, arrangement, solo",258.4625,1158,268.8204284954297,135.6357927786493,1,28,89,48
2yDF7Qr9gTE,"jazz, solo, emotional, intimate, expressive",220.6552083333333,2934,797.8057773015026,202.5426021098174,1,16,99,76
2YkPKswHdk8,"jazz, hymn, spiritual, reflective, solemn, cover",305.96458333333334,1437,281.7973213130605,130.16360842447807,1,21,85,54
2zvoKCeai6s,"jazz, swing, stride",197.584375,2841,862.7200404890316,211.7497348886525,1,35,109,64
324nTVi-95U,"jazz, swing, piano",178.4,1548,520.6278026905829,197.69110764430383,1,58,95,53
34UmQrcK0pk,"blues, jazz, reflective, mellow, soothing",190.56041666666667,1920,604.5326832041457,200.78014773010312,1,31,95,50
363PkelWdSE,"jazz, piano, romantic, soothing",159.0,1270,479.245283018868,174.11095305832168,1,30,99,50
3afrOnFkuok,"jazz, stride, ragtime, Roaring Twenties, swing, syncopation, early jazz",195.09895833333331,2364,727.0156704663766,189.25396211828263,1,60,99,73
3AtmIjiDaCI,"jazz, swing, solo, acoustic, ballad, rubato, standard, peaceful, relaxing, meditation, study, stress relief, refreshing, deep sleep, relaxation",141.44895833333334,1498,635.4235553166262,201.71206225680857,1,33,102,65
3CBe3cAF_XE,"Jazz, Blues, Stride, Boogie, New Orleans, Solo, Classic, Improv, Instrumental, Swing",196.22395833333331,1398,427.4707365627073,212.1546961325943,1,45,103,63
3cjCSt1ihvM,"jazz, solo, arrangement, inspirational",298.4951666666667,2366,475.5855901631015,180.55882957754395,1,30,83,58
3D8_0GQcSpk,"jazz, swing, upbeat, lively, sophisticated, advanced",202.81875,2137,632.190071184247,214.88317298251727,1,14,96,54
3DmslhrOfgo,"ragtime, jazz, enchanting, instrumental, solo piano",152.79791666666665,2132,837.1841893568576,177.8006430868154,1,32,92,64
3DWdkJBX3nQ,"jazz, swing",142.209375,2017,850.998747445448,203.3112026220703,1,39,104,57
3F3mOZTldms,"calming, pop, jazz, ballad, easy-listening",222.29791666666665,852,229.9616693063925,149.79714969312366,1,18,78,42
3FWwxPNtSlE,"romantic, calming, jazz, ballad",172.01770833333333,689,240.32409453968523,128.82872277810483,1,18,77,44
3Kb8A2f2s-U,"jazz, swing, bossa nova, gospel, blues",70.1875,262,223.9715048975957,145.61797752808982,1,42,86,39
3KJfl1pkbO4,"jazz, difficult, arrangement, standards, exercises, etudes",354.9739583333333,3116,526.6865233658573,217.47168337456023,1,24,103,72
3kQ756ad-2c,"piano, love, ballad, healing, jazz",182.5000625,1315,432.32861906554143,186.32051238140784,1,18,95,28
3KxquC7iTuk,"romantic, jazz, relaxing, comfortable, Paris",77.96458333333334,542,417.1124709403308,204.1002277904338,1,28,82,37
3LYcoznFZDE,"jazz, classic",87.56041666666667,614,420.7380618144615,158.99623588456706,1,53,92,38
3NV9UGjBbqo,"acoustic, ballad, christian, hymn, jazz, peaceful, relaxing, worship",213.675,818,229.6946296946297,170.01180637544334,1,29,91,35
3obuQ-gF1ag,"jazz, solo, arrangement, reharmonization, tutorial",264.46979166666665,1155,262.03370737836315,151.11499781372962,1,26,83,49
3S44-kPgB1k,"Jazz, Blues, Improvisation, Solo, Tutorial",246.324,849,206.80079894772737,162.732187784379,1,46,96,45
3wXgB1kTrX4,"jazz, stride, swing, early jazz, classic jazz, electroswing, roaring twenties, syncopation",217.44270833333331,3588,990.0538935064312,205.89812332439703,1,39,91,65
3xfIYEB_kwQ,"Jazz, Stride, Swing, Old Jazz, Classic Jazz, Electro Swing, Roaring Twenties, Syncopation, Solo Piano Jazz",229.98958333333331,3794,989.7839576067756,215.67985022232003,1,50,93,64
3zlqrm20zWk,"jazz, blues, upbeat, historical, lively, classic, emotional, solo",337.128875,5079,903.9273185958932,213.71802577973463,1,21,101,73
4-Q5rMcfiwg,"jazz, blues, instrumental, contemporary, modern, friendship, British",161.78020833333332,1374,509.5802561345448,146.43226473629795,1,17,102,58
40kn19DUlgk,"ragtime, syncopation, pre-jazz, solo, marching music",218.2614583333333,3188,876.3801060463607,172.17115404088676,1,49,98,60
45NiV1AUH9k,"Jazz, Bebop, Swing, Relaxing, Healing",130.30416666666667,801,368.82934160457904,189.80537534754436,1,38,81,40
46-wHclE6Kg,"jazz, swing, advanced, emotional",250.08735416666676,2093,502.1445423278348,199.87904145308372,1,19,99,51
47MtbXzxXr4,"nostalgic, Brazilian, jazz, bossa nova, samba",253.484375,2541,601.457190408679,181.49898717083076,1,30,92,64
4D21-zSkCRE,"jazz, piano, arrangement",237.159375,2314,585.4291022650908,209.03405142460028,1,27,109,71
4dDJfJWMCDw,"Brazilian, samba, jazz, lively, rhythmic",204.0739583333333,2006,589.7861784177509,191.96236032150256,1,6,110,57
4HjiIOqIPd4,"Jazz, Piano, Standards, Solo, Improvisation, Blues, Pops, Swing, Jazz Blues",202.49971875,1621,480.2969633754121,217.89913532251148,1,21,86,58
4k16iT5na0c,"comfort, worship, peaceful, jazz, grace, live, Christian, inspirational",355.5208333333333,1539,259.73161441547023,110.54697723109132,1,21,86,43
4KUjsAiaJJU,"jazz, arrangement, kpop, night, soothing",82.499625,874,635.639252905695,211.48983634148004,1,23,94,58
4MW-pzHmifc,"acoustic, ballad, contemporary Christian, hymn, Christian, jazz, classic, peaceful, relaxing, worship, meditation, healing, study, rest, stress relief, refreshing, deep sleep, relaxation, prayer, reflection",191.50416666666663,1037,324.90154696373014,165.1481363491553,1,38,92,50
4my4yImtxDM,"jazz, swing, improvisation, Bossa Nova",187.48854166666663,1787,571.8749479134837,200.6036684467145,1,31,88,64
4n14lcMHbPY,"jazz, lounge, relaxing, cool, background, festive",317.62358333333333,1784,337.00268373229005,250.07718431614663,1,20,107,45
4N8ttqTAnB8,"jazz, swing, upbeat, energetic, advanced",261.109375,1389,319.1765902698821,192.6851025869753,1,14,88,52
4sZmPHJPvZE,"jazz, swing, Latin jazz, ragtime, blues, tutorial, educational, festive",148.0,2443,990.4054054054052,197.55283648498363,1,41,104,71
4tFd_iqE3Vo,"Christmas, jazz, festive, cheerful, reharmonization",306.1947916666667,1918,375.83918189333446,171.10189440645738,1,30,83,54
4v3_Aqv2DLc,"jazz, piano, solo",198.25833333333333,1529,462.7296036316254,219.2893401015198,1,24,94,47
4XBOV7gWjl8,"jazz, advanced, medium tempo",237.76,1956,493.606998654105,196.16390584132463,1,29,103,66
4XZdSKjOPaA,"jazz, pop, acoustic, cover, arrangement",131.096875,1163,532.2781340134919,211.14178395257284,1,44,100,56
4yJ6ckEVOvs,"ragtime, jazzy, playful, modern, contemporary, spicy, fiery",226.52916666666667,3124,827.4431180679455,211.0276607437328,1,27,103,66
4YoNMdYXWcI,"Jazz, Swing, Piano",183.0,1980,649.1803278688525,213.55303810504557,1,43,94,53
5-caB4w0pKI,"Jazz, Swing, Energetic",144.0,1619,674.5833333333334,198.72220802453415,1,33,100,61
52CE5CvBbpo,"creepy, calm, jazz, kpop, pop, New Age",79.11979166666667,597,452.7312224343361,221.471652593486,1,39,99,39
57GDls5pvKM,"jazz, waltz, solo, acoustic, ballad, relaxing, peaceful, standard",198.159375,1965,594.9756351421678,202.81690140844677,1,27,94,62
58QS5POhkug,"jazz, advanced, cover, standard",227.41875,2213,583.8568719597658,217.0854271356756,1,34,105,81
59k66D_YT7U,"jazz, lounge, improvisation, standard, cover",349.77916666666664,1651,283.2072617246596,207.78914819995256,1,30,96,51
5C6TqjlyDnM,"Jazz, Swing, Stride, Elegant, Sophisticated, Historical, Integrated, Roaring Twenties, Syncopation",238.009375,3091,779.2130036894555,208.28060025311967,1,35,91,69
5ChaQ_3FyOo,"pop, creepy, acoustic, new age, jazz",241.69479166666667,940,233.352152982196,145.5464308275428,1,26,92,24
5DUKK_v8z68,"Jazz, Bebop, Blues, Swing, Relaxing, Healing",187.99270833333333,816,260.4356330309797,153.94570263046856,1,33,84,44
5JmjJrYARDQ,"Christmas, Jazz, Classic, Punk, Samba, Creepy, New Age, Acoustic, K-pop, Pop",117.66875,1249,636.8725766186859,241.8063510150249,1,11,97,60
5JzGB3ymm8M,"jazz, reharmonization, cover, emotional, graceful, acoustic, new age, commemorative, tutorial",96.96145833333333,496,306.926076727222,148.07197943444714,1,18,91,53
5Lf2JtGv30Q,"Bossa Nova, Jazz, Swing, Relaxing, Healing",81.109375,559,413.51570025043344,203.4912718204489,1,42,84,38
5Lh57Xl2KVk,"jazz, hymn, solo, spiritual, reflective, soothing",337.6895833333333,1777,315.7337544959313,160.1404741000896,1,19,100,61
5MnxXJwPb14,"hymn, calming, easy-listening, jazz",175.34583333333333,692,236.7892022907112,163.11844077961027,1,9,78,39
5PtR0HOvASE,"jazz, bebop, energetic, complex, improvisational",233.34895833333331,3724,957.5358792937972,224.3917951979656,1,20,117,71
5SsdmXesE_M,"jazz, stride, swing, classic, early, solo, ballad, syncopation",184.09895833333331,2992,975.1277336124706,233.7538597265115,1,58,94,55
5U1hg32WVRg,"jazz, light jazz, blues, funky, emotional",189.41,1015,321.52473470249726,141.320562141792,1,42,92,47
5uPGeb0OU4M,"creepy, transformative, cinematic, jazz, pop, k-pop, new age, acoustic",272.0385416666667,2601,573.6687126900677,241.4932762427236,1,34,104,64
5wQvRYCKyb0,"creepy, game, animated, comic, new age, jazz, kpop, pop, acoustic",171.4,2075,726.3710618436405,166.02692638212525,1,30,100,55
5yyq2y-Yne8,"Jazz, Swing, Classic, Stride, Elegant, Sophisticated, Roaring Twenties, Syncopation",152.40625,1771,697.2155013327865,231.353889884447,1,39,86,68
5yZN9XGsPxU,"jazz, ballad, Christmas, hymn, serene",223.1,1175,316.001792917974,211.5869017632137,1,30,83,60
6055XhCMlHc,"emotional, imaginative, jazz, solo",315.2395833333333,1300,247.4308561609887,192.7615270203298,1,26,95,66
63c67w4_G0o,"jazz, classic",100.25729166666666,361,216.0441364406164,152.85073170731698,1,41,90,37
65JpomdXnRA,"jazz, swing, Christmas, festive",132.25,1433,650.132325141777,192.86790557508812,1,32,94,65
68cKXmA5r14,"jazz, solo, performance, cool, classic, essence, nostalgic, commute, morning, crowds",289.4279871770833,3277,679.3399695645197,182.69483452354905,1,14,110,70
69CIqGeQ4DE,"Jazz, Blues, Gospel, Solo, Improvisation, Standards",156.57889126458335,660,252.90765364460813,146.1277195974076,1,18,97,41
69WAhDqI5PU,"jazz, bebop, blues, swing, free",70.21979166666667,519,443.46471644093697,197.19887955182048,1,41,95,44
6AQYVeCtQTY,"romantic, waltz, jazz, samba, free style, tension",152.57916666666665,1423,559.5783609601573,181.2745869394181,1,29,97,56
6bO-lr12q9U,"jazz, waltz, advanced, solo",248.64375,1295,312.495286931604,194.1286031042149,1,15,92,57
6dHJWCN2ZSg,"Jazz, Classic",93.0,785,506.4516129032258,268.189535422133,1,48,93,47
6ePT9qmSESA,"jazz, solo, standard, arrangement",144.69791666666666,1411,585.0809876898712,195.2674757610677,1,41,95,53
6h-5GxhDJOE,"jazz, energetic, challenging, intricate, big band, anime",276.40625,2945,639.2764273600905,223.4234234234237,1,34,103,78
6hQb03I-spM,"jazz, standard, sheet music",170.79375,820,288.0667471731255,187.28323699421944,1,31,95,46
6i8LHabv8PQ,"jazz, bebop, blues, swing, relaxing, healing",155.36354166666666,758,292.7327705851196,185.91549295774885,1,44,81,36
6K37zne_part_5,"emotional, sad, ambient, instrumental, classical, jazz, epic, healing",305.16850000000005,2104,413.673101909273,194.5840765364026,1,7,99,75
6K92schczKM,"bossanova, jazz",234.0,2451,628.4615384615385,222.53129346314253,1,17,101,74
6L2pRwe5lZY,"classic, jazz, new age, pop, kpop, ost, acoustic, bgm",153.05416666666667,957,375.1612991043476,195.85029286210693,1,34,99,54
6on2OyKOPm4,"Jazz, Transcription, Piano",237.42916666666667,2554,645.4135443904322,202.9757243539549,1,24,92,73
6qngwW-iAIs,"creepy, pop, jazz, kpop, ccm, acoustic, new age, emotional, reharmonized, transformed",230.63854166666667,946,246.09937085898295,146.1880747552654,1,31,92,24
6qwelmzFu8E,"jazz, anime, medley, energetic, intense, adventurous",279.0,4644,998.7096774193548,200.7718162579365,1,19,107,66
6rrnRqb4XU8,"jazz, calming, old pop, intermediate-level, Eb major",247.10208333333333,900,218.53316358792335,172.41821680564456,1,20,82,46
6SAKNL-lK7E,"jazz, bossa-nova, soothing, relaxing, romantic",203.0145833333333,1343,396.9172986341293,209.0322580645162,1,25,107,67
6Uca3He6nZU,"ballad, jazz, slow, solo, medium-level",347.83700000000005,1680,289.7909078102674,175.48507423146276,1,12,94,49
6xwVBZYWPSM,"new age, easy listening, smooth jazz, japanese pianist",198.5,1383,418.0352644836272,216.03375527426107,1,15,91,35
6_SEy5HAdy0,"Jazz, Ballad, Dreamy, Relaxing, Smooth",151.70937500000002,715,282.77751457350604,122.57350602339469,1,21,92,49
72ZRJqLCCnY,"jazz, ragtime",212.50075,2448,691.1975604791983,197.46103165675825,1,32,103,75
75-V-RE0mtQ,"New Age, Calm, Healing, Emotional, Jazz, Hip Hop",314.71979166666665,1491,284.25285720432527,166.5943600867674,1,27,97,47
75QLJnNazlo,"jazz, blues, early intermediate, solo, emotional, nostalgic",72.21002083333335,609,506.0239503923884,197.9585524280851,1,31,91,42
76rWKIUjc-Q,"jazz, bebop, energetic, complex, instrumental",201.2901041666667,2025,603.6064241856565,200.20855057351264,1,25,93,60
7DWV1FcFZf4,"jazz, cocktail, tender, romantic, soothing",315.91979166666664,1482,281.4638472977384,199.27512355848373,1,19,101,68
7iPSSj62CUw,"jazz, swing, piano",158.884375,1501,566.827291859253,210.73170731707376,1,40,93,53
7iWch0hYKxo,"jazz, ballad, romantic",98.26875,457,279.03071932837247,141.38972809667686,1,31,97,48
7J2UNi5QYjQ,"funk, jazz, rhythm, performance, blues",200.81757624375,2900,866.4580225228935,229.38166097143807,1,32,101,72
7JPu3t0SMYk,"Bossa Nova, Jazz, Bebop, Blues, Swing, Healing",120.61979166666669,831,413.36499848870847,185.7803954564578,1,24,93,47
7Jpy1ZWX4ZU,"jazz, stride, swing, classic, old jazz, early jazz, roaring twenties",192.17916666666667,3239,1011.2438479717276,208.81511161991892,1,51,96,72
7kPivcuGIXM,"romantic, intimate, soothing, neo-soul, jazz",233.0,1097,282.48927038626607,160.82967690466734,1,23,88,51
7lo-4g1MMZI,"jazz, bossanova, solo, standard, tutorial, reharmonization",199.69583333333333,1441,432.9584576543493,178.75862068965503,1,33,82,46
7mC-0OfJYck,"romantic, calming, easy-listening, jazz, old pop, chanson",118.46979166666668,539,272.98098143865786,172.50945775535902,1,16,77,35
7PGJwrooJNU,"jazz, swing, bebop",183.5,2299,751.7166212534061,221.9553723451929,1,39,100,52
7Re9Zj3Csk4,"Gospel, Jazz, Blues, Swing, Relaxing, Healing",279.5013333333333,1329,285.29380897407765,125.166032416047,1,35,88,50
7VeJsk8Jt_Q,"jazz, cocktail, piano, arrangement, sophisticated, smooth",267.34375,1933,433.8234950321449,208.0048149262705,1,16,101,69
7wIKNWtJpmo,"jazz, swing, ballad, acoustic, relaxing, peaceful, standard jazz, jazz waltz, reminiscence",203.39791666666667,1168,344.5463018918172,202.2931515339325,1,23,99,61
81U88fTv02w,"jazz, odd rhythm, light",90.23958333333331,498,331.1185501558352,172.9507141937974,1,57,100,46
85HOa-uUxG4,"swing, jazz, instrumental",118.5,1185,600.0,220.85889570552365,1,28,93,60
8d81v24QQDQ,"jazz, piano, solo, hallucinatory",201.325,2808,836.8558301254192,218.50481125092455,1,21,102,58
8FgICbEHNns,"jazz, funk, upbeat, energetic, groovy",195.86666666666667,1917,587.2362151123212,227.83338714885667,1,49,102,58
8g8MWLCEKKA,"jazz, autumn, cover, standards, arrangement",349.259375,3903,670.5045498062866,209.0874953060514,1,30,104,77
8GHuHQUEwDU,"jazz, blues, advanced, solo, reharmonization, stride, instrumental",257.6947916666667,2081,484.52667278393767,193.982936686126,1,21,85,59
8hY3qHbkL68,"jazz, bossanova, romantic, smooth, relaxing",191.64375,2290,716.9552881322767,207.94223826714767,1,17,100,64
8iYyaNhrkkE,"jazz, solo, romantic, nostalgic, elegant, classic",322.5645833333333,1993,370.716458590334,169.68625718073395,1,32,104,55
8PLHqB2sCHY,"Bossa Nova, Jazz, Relaxing, Healing",86.21875,632,439.8115259151867,184.77331052181364,1,30,87,36
8rcqdL8pQD4,"bossa nova, relaxed, smooth, jazzy, romantic",273.80625,2256,494.3641717455317,212.3595505617956,1,15,95,73
8ufle2PEr4g,"Jazz, ballad, reharmonization, solo, emotional, improvisation, free-style",231.25416666666663,1201,311.6051963027693,164.76758045291996,1,17,83,49
8uqvx0PQRe8,"Christmas, jazz, solo",229.475,792,207.0813814140974,162.73275972775113,1,26,97,45
8uvsiLTu2ZI,"jazz, pop, advanced, arrangement",250.37916666666663,3583,858.61776305936,205.0795157844764,1,29,105,82
8yMiyLi6P9Q,"jazz, carol, Christmas, festive",165.546875,615,222.8975932043417,147.8484070662845,1,25,91,52
